 ,Area
1,2.628
2,2.267
3,2.370
4,3.659
5,2.010
6,3.298
7,2.628
8,3.092
9,4.483
10,3.246
11,2.731
12,2.680
13,2.010
14,4.019
15,3.092
16,25.610
17,2.216
18,4.844
19,2.628
20,3.092
21,3.092
22,2.061
23,1.958
24,2.937
25,5.359
26,3.968
27,4.380
28,11.749
29,2.989
30,4.277
31,7.781
32,3.349
33,3.349
34,35.916
35,2.834
36,1.907
37,2.061
38,4.844
39,2.628
40,2.576
41,3.143
42,1.443
43,7.059
44,1.855
45,2.216
46,2.164
47,1.494
48,2.525
49,2.680
50,2.989
51,2.319
52,2.473
53,26.177
54,2.525
55,2.061
56,2.628
57,6.544
58,1.907
59,1.185
60,1.597
61,2.010
62,2.267
63,3.298
64,1.804
65,2.113
66,2.680
67,2.061
68,3.710
69,2.216
70,1.649
71,3.452
72,1.340
73,1.237
74,2.216
75,2.370
76,2.267
77,3.040
78,2.061
79,2.216
80,1.855
81,2.164
82,4.638
83,1.649
84,1.958
85,1.494
86,5.153
87,2.061
88,1.288
89,1.340
90,3.143
91,1.288
92,3.040
93,8.193
94,0.515
95,0.824
96,1.237
97,1.597
98,2.113
99,1.443
100,1.649
101,1.288
102,5.514
103,5.153
104,1.031
105,1.391
106,2.422
107,1.649
108,2.113
109,1.804
110,2.370
111,1.082
112,0.928
113,1.649
114,3.504
115,1.546
116,2.680
117,2.113
118,4.535
119,2.010
120,1.288
121,14.480
122,19.426
123,1.958
124,1.907
125,1.185
126,3.298
127,2.422
128,2.731
129,0.721
130,7.884
131,2.216
