 ,Area
1,2.834
2,3.865
3,2.061
4,2.834
5,4.947
6,3.040
7,2.989
8,1.649
9,4.019
10,3.349
11,3.143
12,15.150
13,4.277
14,6.647
15,10.924
16,3.401
17,26.486
18,2.164
19,4.535
20,3.710
21,3.246
22,2.783
23,3.349
24,2.989
25,3.659
26,3.504
27,2.680
28,7.575
29,7.111
30,3.865
31,2.680
32,12.418
33,6.647
34,6.287
35,2.628
36,4.019
37,3.710
38,5.256
39,2.834
40,10.770
41,3.916
42,2.422
43,3.452
44,3.143
45,2.680
46,2.989
47,2.319
48,55.497
49,3.556
50,5.256
51,4.122
52,2.783
53,3.813
54,1.134
55,1.649
56,2.267
57,0.979
58,2.937
59,3.556
60,2.576
61,3.607
62,2.783
63,2.886
64,2.937
65,3.504
66,2.267
67,1.494
68,4.071
69,1.391
70,8.760
71,2.370
72,1.185
73,1.752
74,5.823
75,0.103
76,2.783
77,2.370
78,1.649
79,2.164
80,1.237
81,1.546
82,1.804
83,0.206
84,2.422
85,2.370
86,3.349
87,2.319
88,2.628
89,2.010
90,13.088
91,6.390
92,0.721
93,47.973
94,2.525
95,3.195
96,1.649
97,2.576
98,2.216
99,0.618
100,19.426
101,1.804
102,1.958
103,2.267
104,1.958
