 ,Area
1,30.248
2,1.134
3,3.504
4,2.319
5,1.597
6,3.246
7,1.494
8,1.031
9,2.576
10,3.452
11,1.031
12,1.752
13,2.525
14,4.019
15,2.937
16,2.783
17,41.842
18,2.010
19,4.895
20,0.361
21,2.576
22,1.752
23,2.731
24,2.113
25,1.340
26,3.504
27,5.668
28,4.328
29,0.721
30,109.757
31,176.693
32,4.071
33,0.155
34,2.834
35,1.700
36,1.391
37,2.576
38,3.143
39,0.103
40,6.493
41,1.237
42,0.618
43,4.122
44,1.855
45,1.546
46,1.391
47,1.031
48,0.979
49,3.452
50,1.494
51,4.792
52,132.790
53,1.391
54,23.703
55,2.061
56,2.834
57,3.865
58,0.824
59,2.113
60,4.431
61,85.280
62,3.659
63,44.057
64,2.370
65,2.628
66,1.082
67,6.080
68,3.504
69,2.267
70,2.628
71,2.164
72,1.752
73,0.567
74,34.267
75,3.246
76,3.916
77,4.225
78,1.288
79,0.876
80,12.470
81,2.628
82,3.607
83,3.040
84,4.328
85,0.206
86,3.762
87,1.649
88,1.700
89,2.422
90,7.935
91,5.514
92,1.597
93,1.082
94,2.422
95,2.216
96,11.027
97,3.143
98,0.309
99,3.968
100,1.494
101,4.586
102,2.886
103,1.237
104,2.422
105,20.148
106,3.143
107,3.452
108,0.721
109,3.968
110,5.926
111,0.567
112,1.597
113,5.514
114,3.401
115,4.225
116,2.267
117,6.338
118,2.216
119,1.855
120,2.886
121,82.240
122,1.752
123,2.319
124,2.113
125,1.649
126,0.515
127,2.267
128,8.605
129,2.576
130,1.546
131,0.361
132,2.834
133,4.225
134,0.206
135,0.258
136,2.989
137,1.391
138,4.638
139,1.546
140,2.576
141,1.700
142,2.525
143,1.237
144,2.628
145,2.164
146,0.670
147,5.668
148,2.113
149,1.288
150,1.237
151,2.216
152,2.164
153,1.340
154,2.267
155,3.401
156,2.061
157,3.813
158,0.412
159,58.743
160,2.628
161,13.861
162,2.319
163,2.164
164,1.288
165,1.340
166,3.298
167,4.535
168,3.813
169,2.783
170,36.431
171,5.204
172,2.164
173,4.895
174,0.670
175,1.907
176,3.195
177,1.855
178,6.338
179,2.886
180,4.586
181,1.649
182,0.876
183,4.689
184,4.741
185,2.628
186,1.958
187,0.928
188,9.481
189,2.989
190,2.886
191,0.928
192,1.958
193,1.804
194,9.791
195,3.556
196,2.370
197,2.164
198,1.546
199,0.773
200,0.206
201,6.905
202,0.515
203,3.092
204,0.876
205,0.979
206,1.804
207,0.979
208,4.174
209,2.422
210,2.061
211,1.391
212,0.773
213,1.855
214,2.164
215,2.473
216,0.773
217,2.113
218,1.237
219,0.464
220,6.080
221,1.752
222,1.443
223,0.309
224,1.391
225,5.101
226,2.216
227,0.258
228,1.031
229,1.443
230,6.853
231,3.710
232,0.979
233,2.164
234,1.134
235,0.155
236,0.876
237,1.494
238,3.195
239,1.082
240,1.907
241,1.340
242,0.824
243,1.546
244,1.546
245,3.452
246,0.103
247,1.546
248,0.618
249,0.103
250,0.103
251,0.412
252,0.824
253,0.721
254,0.361
255,1.082
256,1.340
257,0.979
258,1.546
259,0.876
260,6.956
261,0.309
262,0.721
263,1.958
264,0.103
265,1.237
266,0.464
267,1.494
268,0.361
269,0.773
270,1.288
271,1.134
272,1.237
273,1.237
274,0.928
275,0.103
276,1.597
277,0.515
278,1.288
279,1.237
280,0.721
281,0.155
282,0.773
283,0.515
284,1.752
285,1.391
286,1.082
287,0.309
288,1.288
289,1.597
290,1.855
291,1.031
292,5.411
293,1.804
294,0.412
295,0.258
296,0.206
297,0.361
298,1.443
299,3.143
300,0.773
301,0.670
302,0.103
303,1.340
304,1.082
305,1.134
306,0.618
307,2.010
308,0.567
309,0.721
310,1.494
311,2.164
312,0.412
313,1.288
314,3.452
315,3.556
316,0.412
317,1.288
318,1.237
319,1.185
320,1.443
321,3.195
322,1.958
323,1.391
324,1.134
325,1.391
326,2.370
327,0.412
328,4.277
329,3.298
330,0.928
331,1.494
332,1.804
333,1.185
334,1.494
335,2.680
336,1.237
