 ,Area
1,4.174
2,1.907
3,0.928
4,2.525
5,0.824
6,4.071
7,9.636
8,4.689
9,3.452
10,0.618
11,3.298
12,0.361
13,2.937
14,5.823
15,8.605
16,8.142
17,8.399
18,5.720
19,4.792
20,4.277
21,1.340
22,3.349
23,3.659
24,3.556
25,9.275
26,2.370
27,4.535
28,3.092
29,3.865
30,27.568
31,2.216
32,2.576
33,1.804
34,4.844
35,2.783
36,6.544
37,13.294
38,1.340
39,2.886
40,4.535
41,4.380
42,3.659
43,5.823
44,4.844
45,7.214
46,4.535
47,2.216
48,7.111
49,4.535
50,4.792
51,4.277
52,3.968
53,1.340
54,14.067
55,2.680
56,2.061
57,7.472
58,5.874
59,6.956
60,0.206
61,2.319
62,0.206
63,3.195
64,1.494
65,2.370
66,3.401
67,1.546
68,2.061
69,3.452
70,2.010
71,1.340
72,9.739
73,3.659
74,2.113
75,4.225
76,2.525
77,4.277
78,1.546
79,4.586
80,1.597
81,2.783
82,5.977
83,0.773
84,2.216
85,0.773
86,2.370
87,3.762
88,4.019
89,0.567
90,2.061
91,1.855
92,0.979
93,3.710
94,7.523
95,1.855
96,2.216
97,7.626
98,1.185
99,0.361
100,4.483
101,5.926
102,1.391
103,2.576
104,1.134
105,4.535
106,2.628
