 ,Area
1,1.237
2,7.369
3,4.998
4,1.443
5,2.834
6,6.956
7,7.369
8,2.164
9,3.143
10,13.140
11,3.040
12,6.390
13,1.804
14,0.309
15,2.061
16,49.932
17,1.391
18,2.628
19,6.132
20,2.473
21,3.143
22,14.840
23,2.834
24,0.515
25,2.216
26,3.092
27,4.792
28,2.319
29,8.605
30,1.700
31,93.216
32,12.831
33,3.916
34,1.237
35,45.346
36,3.452
37,0.155
38,1.031
39,50.086
40,2.525
41,2.370
42,2.113
43,1.494
44,2.216
45,2.473
46,2.783
47,0.258
48,15.046
49,0.928
50,1.134
51,8.657
52,3.092
53,2.010
54,50.550
55,0.464
56,7.884
57,5.720
58,4.019
59,9.378
60,8.657
61,1.700
62,1.494
63,0.928
64,1.288
65,3.195
66,2.989
67,2.267
68,11.646
69,1.855
70,2.061
71,2.473
72,2.010
73,20.560
74,2.628
75,5.565
76,0.103
77,1.082
78,3.092
79,2.061
80,6.647
81,2.628
82,2.216
83,2.370
84,0.773
85,1.752
86,0.258
87,1.907
88,1.185
89,2.422
90,1.340
91,1.443
92,6.699
93,2.010
94,2.061
95,0.670
96,1.082
97,5.101
98,0.721
99,2.937
100,2.576
101,1.752
102,2.731
103,1.134
104,6.183
105,1.082
106,1.494
107,2.834
108,2.680
109,1.958
110,2.886
111,2.886
112,152.526
113,2.370
114,1.597
115,4.483
116,1.752
117,6.647
118,0.309
119,1.031
120,2.061
121,1.958
122,11.594
123,1.907
124,2.473
125,0.103
126,2.886
127,2.731
128,2.937
129,2.525
130,2.370
131,1.958
132,1.185
133,2.113
134,6.287
135,0.258
136,0.773
137,3.092
138,1.546
139,2.422
140,3.040
141,0.464
142,3.040
143,0.979
144,1.494
145,1.700
146,2.576
147,1.185
148,2.113
149,2.525
150,0.567
151,2.164
152,4.638
153,1.288
154,2.061
155,1.649
156,3.762
157,2.989
158,2.370
159,2.216
160,5.720
161,2.061
162,6.080
163,0.721
164,1.391
165,2.680
166,0.258
167,2.370
168,2.010
169,1.855
170,2.061
171,1.134
172,2.680
173,1.597
174,3.607
175,1.649
176,3.556
177,2.061
178,2.370
179,1.185
180,0.928
181,0.876
182,0.309
183,1.031
184,5.153
185,0.824
186,1.288
187,0.876
188,1.649
189,0.876
190,3.968
191,2.267
192,0.928
193,9.327
194,2.061
195,1.855
196,2.680
197,1.288
198,1.700
199,1.752
200,2.164
201,1.546
202,0.721
203,1.907
204,2.989
205,154.845
206,2.370
207,0.309
208,1.649
209,0.979
210,2.680
211,0.258
212,0.876
213,0.670
214,0.928
215,1.700
216,0.155
217,1.185
218,0.618
219,2.370
220,2.628
221,0.567
222,4.535
223,6.080
224,0.309
225,0.258
226,0.412
227,15.253
228,2.010
229,2.319
230,4.277
231,43.645
232,25.816
233,0.876
234,232.447
235,7.008
236,1.340
237,0.361
238,1.134
239,12.882
240,2.216
241,0.464
242,1.185
243,1.082
244,2.576
245,2.216
246,0.258
247,1.031
248,2.628
249,0.928
250,1.494
251,0.155
252,6.390
253,5.771
254,1.134
255,1.237
256,0.670
257,1.546
258,4.998
259,1.237
260,0.721
261,1.855
262,1.649
263,2.061
264,0.979
265,3.349
266,0.928
267,2.267
268,6.699
269,0.309
270,0.824
271,0.258
272,2.422
273,1.804
274,1.340
275,0.979
276,6.853
277,2.473
278,13.294
279,0.309
280,0.103
281,2.010
282,1.804
283,0.979
284,0.824
285,1.340
286,7.059
287,0.309
288,1.855
289,1.134
290,1.185
291,0.206
