 ,Area
1,13.346
2,1.649
3,5.307
4,1.494
5,7097.244
6,1.237
7,25.816
8,0.103
9,2.731
10,2.886
11,1.391
12,1.907
13,1.237
14,1.134
15,3.865
16,12.161
17,1.649
18,1.134
19,6.441
20,6.132
21,0.052
22,1.804
23,0.361
24,6.956
25,0.670
26,1.752
27,1.443
28,0.052
29,0.052
30,1.391
31,0.052
32,3.556
33,0.052
34,0.206
35,3.968
36,0.052
37,1.031
38,1.031
39,2.370
40,1.752
41,8.348
42,0.103
43,0.103
44,2.628
45,8.966
46,2.010
47,1.237
48,0.052
49,3.195
50,2.113
51,2.010
52,0.052
53,0.052
54,0.052
55,0.052
56,0.052
57,0.052
58,2.628
59,1.082
60,2.319
61,46.685
62,1.391
63,0.515
64,2.525
65,4.328
66,1.804
67,1.752
68,3.143
69,1.597
70,2.010
71,0.721
72,0.052
73,4.998
74,0.928
75,2.319
76,1.597
77,2.061
78,0.052
79,1.134
80,1.391
81,3.452
82,1.031
83,2.113
84,3.607
85,15.201
86,2.473
87,0.361
88,6.905
89,4.225
90,15.046
91,10.924
92,0.309
93,45.861
94,3.504
95,2.576
96,3.710
97,5.668
98,0.464
99,4.122
100,3.865
101,0.052
102,0.103
103,1.804
104,20.921
105,1065.465
106,1.649
107,2.267
108,1.752
109,15.459
110,117.074
111,0.876
112,3.298
113,1.546
114,4.586
115,2.164
116,5.411
117,2.216
118,2.370
119,142.478
120,0.515
121,7.523
122,4.225
123,8.760
124,25.868
125,3.246
126,0.052
127,2.886
128,0.052
129,4.895
130,1.597
131,1.649
132,1.752
133,2.422
134,0.052
135,0.052
136,1.752
137,6.802
138,12.522
139,1.958
140,2.937
141,1.855
142,29.681
143,2.319
144,5.617
145,0.979
146,3.040
147,0.928
148,9.687
149,10.151
150,0.052
151,2.216
152,10.976
153,0.052
154,0.979
155,2.473
156,0.052
157,2.937
158,4.380
159,1.752
160,0.052
161,1.907
162,0.052
163,0.052
164,2.113
165,1.340
166,0.052
167,1.804
168,0.052
169,42.357
170,0.052
171,7.781
172,11.491
173,0.052
174,1.597
175,11.285
176,0.515
177,30.711
178,0.773
179,2.731
180,0.876
181,11.336
182,0.052
183,3.865
184,1.391
185,2.989
186,4.741
187,4.071
188,1.546
189,0.876
190,10.512
191,3.659
192,0.670
193,4.844
194,1.340
195,2.164
196,4.535
197,0.258
198,2.525
199,3.246
200,0.052
201,1.288
202,0.361
203,2.267
204,0.876
205,0.721
206,0.052
207,0.206
208,6.441
209,1.443
210,0.052
211,1.907
212,0.928
213,20.045
214,3.349
215,2.164
216,1.443
217,5.050
218,6.338
219,4.277
220,0.979
221,0.206
222,0.309
223,1.082
224,2.473
225,3.710
226,17.262
227,2.628
228,1.597
229,2.473
230,10.718
231,9.636
232,1.031
233,1.391
234,5.668
235,1.031
236,1.494
237,1.185
238,10.615
239,0.258
240,1.855
241,0.721
242,1.494
243,7.575
244,0.515
245,6.390
246,1.288
247,3.349
248,3.813
249,0.361
250,2.370
251,0.464
252,1.237
253,1.597
254,0.309
255,3.865
256,0.258
257,11.697
258,9.636
259,14.274
260,36.431
261,1.237
262,0.464
263,6.853
264,4.998
265,26.589
266,0.515
267,2.164
268,0.721
269,0.103
270,1.185
271,3.349
272,4.638
273,1.907
274,7.781
275,2.010
276,3.504
277,0.618
278,0.876
279,0.721
280,0.103
281,14.892
282,4.019
283,2.783
284,1.340
285,1.804
286,1.340
287,1.958
288,0.206
289,1.340
290,1.340
291,1.958
292,5.153
293,0.309
294,1.340
295,0.052
296,0.052
297,1.031
298,1.804
299,1.082
300,0.670
301,2.886
302,0.567
303,1.031
304,19.993
305,2.061
306,0.824
307,0.309
308,18.757
309,4.535
310,3.504
311,0.206
312,1.134
313,0.721
314,4.380
315,10.357
316,4.431
317,1.855
318,1.340
319,1.958
320,2.731
321,0.567
322,1.237
323,3.349
324,1.237
325,4.122
326,4.792
327,0.515
328,1.031
329,0.567
330,3.092
331,3.195
332,2.164
333,1.288
334,0.618
335,9.533
336,1.907
337,0.876
338,3.710
339,0.876
340,0.206
341,0.464
342,0.670
343,5.514
344,1.804
345,1.443
346,31.072
347,0.979
348,4.844
349,0.567
350,0.309
351,1.907
352,1.443
353,0.052
354,3.246
355,0.824
356,1.082
357,0.515
358,0.464
359,1.855
360,1.237
361,0.979
