 ,Area
1,0.928
2,52.869
3,0.258
4,9.739
5,6.080
6,14.737
7,6.750
8,4.586
9,14.943
10,192.770
11,6.080
12,7.472
13,5.823
14,19.684
15,5.926
16,5.462
17,17.932
18,8.039
19,0.103
20,39.883
21,3.092
22,5.050
23,0.258
24,5.617
25,2.783
26,17.571
27,4.586
28,15.150
29,7.214
30,0.052
31,6.956
32,0.103
33,480.302
34,4.483
35,1.804
36,26.692
37,0.206
38,3.401
39,0.052
40,2.576
41,0.103
42,0.052
43,17.005
44,2.216
45,4.380
46,1.855
47,28.805
48,0.052
49,18.035
50,3.916
51,7.832
52,0.103
53,0.258
54,0.103
55,0.052
56,15.046
57,0.052
58,0.052
59,6.699
60,3.916
61,5.359
62,3.968
63,88.630
64,5.307
65,7.420
66,10.976
67,3.762
68,4.174
69,22.621
70,5.462
71,3.968
72,8.657
73,13.243
74,4.689
75,3.556
76,0.824
77,2.113
78,4.225
79,0.412
80,1.546
81,4.689
82,0.515
83,9.275
84,1.391
85,68.018
86,4.225
87,73.223
88,1.958
89,2.422
90,0.824
91,0.464
92,1.443
93,1.649
94,1.082
95,4.380
96,2.164
97,149.073
98,86.569
99,2.061
100,1.082
101,0.464
102,4.071
103,4.122
104,2.010
105,0.721
106,1.546
107,1.752
108,1.288
109,4.638
110,3.865
111,0.206
112,1.855
113,1.494
114,0.928
115,0.567
116,2.473
117,2.010
118,1.340
119,5.307
120,1.237
121,11.439
122,1.546
123,3.195
