 ,Area
1,0.721
2,0.155
3,0.618
4,0.618
5,2.370
6,0.876
7,4.535
8,0.618
9,0.567
10,0.567
11,2.010
12,2.370
13,0.876
14,2.680
15,1.391
16,2.010
17,0.876
18,0.618
19,0.103
20,0.258
21,1.185
22,1.391
23,1.288
24,1.031
25,1.649
26,0.309
27,1.031
28,19.426
29,1.340
30,1.288
31,1.237
32,20.457
33,10.512
34,1.597
35,6.905
36,1.443
37,17.262
38,8.760
39,1.597
40,51.890
41,0.103
42,0.618
43,0.206
44,1.494
45,1.340
46,1.494
47,4.535
48,1.597
49,0.876
50,3.813
51,1.752
52,5.153
53,114.961
54,1.700
55,3.195
56,0.412
57,10.563
58,1.237
59,37.719
60,2.113
61,0.155
62,1.494
63,0.721
64,0.103
65,2.370
66,74.253
67,1.185
68,1.443
69,1.649
70,1.700
71,0.928
72,1.443
73,1.494
74,8.863
75,4.225
76,9.224
77,0.928
78,1.288
79,1.237
80,0.567
81,9.121
82,0.515
83,1.804
84,1.597
85,1.288
86,2.680
87,0.876
88,40.399
89,13.243
90,0.928
91,2.061
92,0.928
93,8.090
94,0.979
95,16.695
96,2.422
97,4.071
98,0.258
99,0.361
100,22.312
101,1.494
102,1.443
103,13.346
104,1.804
105,32.154
106,0.618
107,0.618
108,1.855
109,2.834
110,1.700
111,1.649
112,12.985
113,2.834
114,0.721
115,0.258
116,2.834
117,0.979
118,33.545
119,0.258
120,1.907
121,215.134
122,5.101
123,7.678
124,9.842
125,1.391
126,5.926
127,1.597
128,0.773
129,3.968
130,5.307
131,0.103
132,2.989
133,6.544
134,1.649
135,1.031
136,1.288
137,0.103
138,1.700
139,1.443
140,2.834
141,2.061
142,1.597
143,28.650
144,23.497
145,10.821
146,1.546
147,23.755
148,3.452
149,0.258
150,0.258
151,0.206
152,7.008
153,1.855
154,0.824
155,1.700
156,6.905
157,1.700
158,1.237
159,4.535
160,2.576
161,0.103
162,0.309
163,103.264
164,0.412
165,3.349
166,1.443
167,1.597
168,79.458
169,1.082
170,5.204
171,0.103
172,8.554
173,2.113
174,1.752
175,4.071
176,0.258
177,23.188
178,5.307
179,5.101
180,0.103
181,2.164
182,1.134
183,32.566
184,1.494
185,2.113
186,2.422
187,3.040
188,0.155
189,0.515
190,1.340
191,1.134
192,0.412
193,1.237
194,9.842
195,2.989
196,1.907
197,21.591
198,0.309
199,1.340
200,3.298
201,0.979
202,45.861
203,1.185
204,1.752
205,2.783
206,1.340
207,11.800
208,448.508
209,1.237
210,6.390
211,1.340
212,0.361
213,2.267
214,6.441
215,2.164
216,1.907
217,0.361
218,4.225
219,0.567
220,1.082
221,7.729
222,6.441
223,5.823
224,0.103
225,8.863
226,2.783
227,1.649
228,1.907
229,5.668
230,0.412
231,14.634
232,1.082
233,40.811
234,5.204
235,1.494
236,1.855
237,1.546
238,14.840
239,2.937
240,1.288
241,0.773
242,3.298
243,1.958
244,2.061
245,0.103
246,1.288
247,2.628
248,1.546
249,2.422
250,7.729
251,4.277
252,3.916
253,3.452
254,1.907
255,2.525
256,1.134
257,1.391
258,4.019
259,5.204
260,1.649
261,0.876
262,5.153
263,1.340
264,21.024
265,1.031
266,1.649
267,1.494
268,3.195
269,4.019
270,0.464
271,0.618
272,2.370
273,7.935
274,2.010
275,0.721
276,1.391
277,1.649
278,12.264
279,2.473
280,2.886
281,2.164
282,9.842
283,1.185
284,7.111
285,0.361
286,1.237
287,23.085
288,2.628
289,2.061
290,0.876
291,1.494
292,6.596
293,1.237
294,7.781
295,18.190
296,2.010
297,3.298
298,2.886
299,0.464
300,9.327
301,1.494
302,3.865
303,9.791
304,0.618
305,2.628
306,2.989
307,11.027
308,5.874
309,2.680
310,1.288
311,3.349
312,2.370
313,2.680
314,1.288
315,0.155
316,16.438
317,3.298
318,0.670
319,6.802
320,6.338
321,1.649
322,2.267
323,0.309
324,1.237
325,0.979
326,2.113
327,3.092
328,17.365
329,1.700
330,0.361
331,0.721
332,1.546
333,2.937
334,0.567
335,0.876
336,2.731
337,7.266
338,5.050
339,10.306
340,1.237
341,5.101
342,1.907
343,1.494
344,1.752
345,3.659
346,5.101
347,4.689
348,1.546
349,14.170
350,1.700
351,2.680
352,0.618
353,16.644
354,2.216
355,0.258
356,0.515
357,2.319
358,16.335
359,0.309
360,1.597
361,2.319
362,2.164
363,1.185
364,1.443
365,1.391
366,4.071
367,0.618
368,19.220
369,0.876
370,0.515
371,7.523
372,8.502
373,2.319
374,9.997
375,0.361
376,1.597
377,0.361
378,24.013
379,4.174
380,0.721
381,0.876
382,9.275
383,10.512
384,1.855
385,4.277
386,0.567
387,5.359
388,1.907
389,1.391
390,5.720
391,25.558
392,16.953
393,0.515
394,6.493
395,1.597
396,2.834
397,1.391
398,0.103
399,3.246
400,0.567
401,3.298
402,1.494
403,0.258
404,2.164
405,7.317
406,4.535
407,10.563
408,1.237
409,1.752
410,0.567
411,1.752
412,1.752
413,20.045
414,1.288
415,0.206
416,2.783
417,1.958
418,7.575
419,2.886
420,19.787
421,1.134
422,5.153
423,11.388
424,0.670
425,4.122
426,6.235
427,1.597
428,8.142
429,2.731
430,0.515
431,0.979
432,2.164
433,1.031
434,0.773
435,2.422
436,2.989
437,223.172
438,2.834
439,4.431
440,4.328
441,0.412
442,0.464
443,1.804
444,1.855
445,0.618
446,0.721
447,38.286
448,0.309
449,1.597
450,1.597
451,32.772
452,2.370
453,2.680
454,0.361
455,3.659
456,2.886
457,4.483
458,2.010
459,2.422
460,11.079
461,1.237
462,15.562
463,0.876
464,1.649
465,1.288
466,32.206
467,3.916
468,0.567
469,1.804
470,1.237
471,1.288
472,7.111
473,0.309
474,8.554
475,1.391
476,1.546
477,0.103
478,0.103
479,0.567
480,1.031
481,1.031
482,1.494
483,2.319
484,2.473
485,9.687
486,0.824
487,3.556
488,1.649
489,9.791
490,2.319
491,1.391
492,3.607
493,0.103
494,0.567
495,2.113
496,2.731
497,0.670
498,1.597
499,11.233
500,0.464
501,0.206
502,1.288
503,1.958
504,2.370
505,4.483
506,3.092
507,0.103
508,7.059
509,0.258
510,4.586
511,0.773
512,0.258
513,5.256
514,3.040
515,1.185
516,1.288
517,3.040
518,2.680
519,0.670
520,1.700
521,2.834
522,8.039
523,222.142
524,2.267
525,0.412
526,5.256
527,1.958
528,14.325
529,0.618
530,6.956
531,1.907
532,0.670
533,8.502
534,1.494
535,2.422
536,0.412
537,0.103
538,1.752
539,10.821
540,0.670
541,1.082
542,1.185
543,2.576
544,0.567
545,1.082
546,1.134
547,1.237
548,5.204
549,50.859
550,6.956
551,21.539
552,0.206
553,0.206
554,0.773
555,2.319
556,0.618
557,2.370
558,40.347
559,2.216
560,1.340
561,0.206
562,1.288
563,0.155
564,2.680
565,1.546
566,9.894
567,15.922
568,0.361
569,0.155
570,0.464
571,1.340
572,0.928
573,0.361
574,0.515
575,0.618
576,3.040
577,0.258
578,8.554
579,0.309
580,2.370
581,2.628
582,3.916
583,1.700
584,7.059
585,2.216
586,5.617
587,1.804
588,1.546
589,7.008
590,0.206
591,2.267
592,8.760
593,4.844
594,2.010
595,1.134
596,8.915
597,5.307
598,3.298
599,5.823
600,2.061
601,1.134
602,0.670
603,0.979
604,2.834
605,4.586
606,0.464
607,0.824
608,0.824
609,0.309
610,0.309
611,9.636
612,1.546
613,13.552
614,8.605
615,0.721
616,2.525
617,0.103
618,0.464
619,0.670
620,16.386
621,3.504
622,0.618
623,0.103
624,0.824
625,4.638
626,1.288
627,1.391
628,31.484
629,0.824
630,0.876
631,0.206
632,3.195
633,0.515
634,1.443
635,2.216
636,0.206
637,0.567
638,0.721
639,1.134
640,0.824
641,5.617
642,0.103
643,0.103
644,0.773
645,0.155
646,4.895
647,4.328
648,2.010
649,7.781
650,1.855
651,1.031
652,0.876
653,2.576
654,2.113
655,0.258
656,0.721
657,0.464
658,1.546
659,1.494
660,1.546
661,4.328
662,1.958
663,0.258
664,0.258
665,0.567
666,2.267
667,6.390
668,1.700
669,0.258
670,6.802
671,7.214
672,2.680
673,1.082
674,7.729
675,1.340
676,2.473
677,0.361
678,0.979
679,4.741
680,2.164
681,2.216
682,3.865
683,2.473
684,2.216
685,0.464
686,3.246
687,0.721
688,5.204
689,0.361
690,0.258
691,7.781
692,0.309
693,1.391
694,0.206
695,2.267
696,7.575
697,0.773
698,0.258
699,0.309
700,0.928
701,0.721
702,1.082
703,5.771
704,0.206
705,0.412
706,0.979
707,232.190
708,0.206
709,2.473
710,0.103
711,5.565
712,2.216
713,0.670
714,1.700
715,0.928
716,0.412
717,1.649
718,1.134
719,1.288
720,0.361
721,0.464
722,0.876
723,3.298
724,0.721
