 ,Area
1,1.134
2,0.103
3,0.824
4,5.050
5,4.174
6,4.741
7,2.680
8,4.225
9,4.586
10,4.741
11,5.050
12,4.019
13,6.956
14,4.792
15,6.338
16,5.101
17,9.275
18,5.153
19,5.668
20,4.947
21,5.462
22,5.256
23,4.895
24,5.204
25,5.462
26,4.638
27,5.204
28,5.977
29,5.153
30,11.646
31,14.686
32,5.153
33,3.504
34,5.307
35,4.019
36,4.844
37,5.668
38,8.863
39,7.214
40,4.792
41,3.710
42,5.720
43,9.842
44,2.267
45,7.369
46,3.143
47,5.668
48,5.101
49,4.895
50,9.791
51,4.689
52,5.204
53,4.431
54,3.401
55,3.452
56,6.699
57,6.080
58,6.029
59,4.122
60,3.762
61,3.813
62,5.153
63,5.256
64,3.556
65,2.937
66,3.659
67,4.844
68,4.638
69,4.225
70,6.287
71,4.431
72,3.452
73,3.298
74,5.617
75,3.710
76,3.813
77,3.659
78,15.459
79,2.473
80,5.307
81,8.296
82,16.850
83,3.607
