 ,Area
1,5.771
2,89.712
3,3.710
4,3.504
5,3.246
6,3.556
7,7.369
8,8.708
9,5.204
10,4.277
11,4.535
12,6.338
13,3.504
14,3.710
15,15.665
16,2.989
17,6.235
18,2.834
19,4.277
20,4.431
21,4.071
22,5.565
23,5.411
24,10.100
25,4.019
26,3.710
27,5.050
28,3.865
29,4.895
30,8.863
31,4.947
32,11.285
33,6.080
34,3.607
35,6.287
36,5.565
37,2.525
38,4.741
39,3.813
40,6.853
41,4.174
42,11.285
43,9.069
44,4.689
45,0.052
46,3.556
47,4.895
48,18.396
49,33.648
50,11.182
51,5.462
52,4.998
53,6.905
54,4.586
55,12.522
56,3.659
57,3.865
58,2.783
59,3.195
60,3.195
61,3.143
62,3.607
63,4.277
64,5.050
65,2.473
66,3.452
67,3.659
68,19.581
69,5.411
70,9.018
71,3.298
72,4.328
73,4.535
74,2.525
75,3.968
76,4.792
77,7.678
78,6.956
79,2.886
80,4.483
81,6.029
82,3.865
83,3.607
84,4.277
85,7.111
86,12.470
87,16.953
88,10.718
89,7.111
90,3.452
91,16.798
92,4.844
93,6.080
94,2.731
95,4.071
96,26.640
97,6.235
98,4.844
99,5.411
100,3.865
101,3.452
102,2.989
103,7.214
104,3.504
105,3.452
106,0.052
107,4.431
108,3.659
109,3.865
110,4.019
111,3.092
112,3.349
113,6.235
114,4.895
115,8.760
116,3.504
117,59.464
118,5.823
119,0.773
120,7.317
121,3.349
122,3.710
123,3.195
124,2.989
125,2.628
126,4.638
127,2.370
128,1.804
129,3.040
130,4.225
131,8.863
132,2.576
133,42.357
134,2.937
135,1.700
136,2.319
137,3.349
138,3.504
139,4.431
140,2.783
141,98.730
142,1.597
143,0.361
144,3.504
145,0.155
146,3.246
147,3.092
148,4.483
149,3.349
150,3.659
151,3.916
152,6.596
153,4.535
154,7.832
155,1.288
156,2.783
157,3.710
158,1.649
159,3.659
160,2.061
161,1.597
162,2.731
163,2.319
164,10.718
165,13.037
166,2.680
167,4.071
168,2.680
169,2.680
170,2.319
171,4.483
172,17.674
173,2.937
174,36.173
175,2.834
176,2.216
177,2.525
178,3.092
179,8.399
180,2.267
181,29.887
182,2.319
183,7.266
184,3.246
185,14.686
186,3.349
187,0.361
188,0.361
189,0.412
190,0.670
