 ,Area
1,3.813
2,1.855
3,2.113
4,2.525
5,1.649
6,1.134
7,3.813
8,5.771
9,2.628
10,1.804
11,2.164
12,1.546
13,3.246
14,1.752
15,2.834
16,2.216
17,4.947
18,2.576
19,6.390
20,3.504
21,2.473
22,2.216
23,4.019
24,21.848
25,2.010
26,2.267
27,2.525
28,3.916
29,3.143
30,2.731
31,0.515
32,3.659
33,1.752
34,1.855
35,4.431
36,2.576
37,1.804
38,2.113
39,7.575
40,1.494
41,1.546
42,1.185
43,2.319
44,2.010
45,3.968
46,1.597
47,0.155
48,1.752
49,3.556
50,2.061
51,2.680
52,3.092
53,2.010
54,7.523
55,2.010
56,2.010
57,2.010
58,2.113
59,1.907
60,1.804
61,1.443
62,2.216
63,2.576
64,1.597
65,8.090
66,1.443
67,3.092
68,1.649
69,2.937
70,1.958
71,1.752
72,4.277
73,1.804
74,2.061
75,1.804
76,2.576
77,0.464
78,1.546
79,3.607
80,2.061
81,2.113
82,2.370
83,0.206
84,1.752
85,0.824
86,2.164
87,1.185
88,1.288
89,15.304
90,1.134
91,2.834
92,0.155
93,4.586
94,4.174
95,0.464
96,3.504
97,1.340
98,2.370
99,1.649
100,1.082
101,1.185
102,1.340
103,1.082
104,0.412
105,1.340
106,1.185
107,0.361
108,1.804
109,0.309
110,1.082
111,2.628
112,0.979
113,1.082
114,7.214
115,6.544
116,1.237
117,0.206
118,1.494
119,1.031
120,4.071
121,1.443
122,1.907
123,4.535
124,1.494
125,2.422
126,1.082
127,1.391
