 ,Area
1,1.288
2,5.771
3,9.636
4,4.019
5,11.491
6,3.865
7,4.792
8,3.246
9,7.575
10,4.689
11,7.472
12,10.770
13,2.989
14,3.916
15,3.401
16,4.792
17,25.146
18,3.298
19,0.103
20,10.254
21,1.546
22,15.613
23,5.153
24,1.958
25,3.401
26,10.770
27,0.567
28,2.473
29,3.040
30,5.462
31,17.571
32,1.443
33,6.287
34,2.576
35,3.246
36,4.895
37,2.319
38,1.804
39,4.019
40,3.659
41,4.998
42,3.401
43,3.298
44,5.617
45,0.670
46,1.907
47,3.452
48,2.680
49,7.059
50,1.443
51,5.101
52,4.122
53,1.494
54,5.462
55,3.556
56,2.267
57,0.618
58,5.977
59,7.832
60,3.298
61,0.103
62,6.699
63,2.061
64,14.531
65,3.813
66,6.287
67,2.989
68,6.390
69,4.895
70,5.565
71,9.533
72,3.298
73,3.762
74,3.401
75,3.246
76,7.575
77,0.876
78,8.657
79,8.657
80,15.253
81,2.010
82,2.834
83,2.628
84,6.647
85,9.533
86,4.638
87,3.143
88,5.204
89,1.237
90,6.029
91,5.153
92,1.288
93,2.267
94,6.596
95,4.225
96,4.895
97,2.525
98,4.380
99,3.040
100,3.813
101,0.515
102,8.605
103,3.246
104,4.535
105,2.937
106,2.989
107,0.464
108,0.876
109,2.061
110,2.989
111,3.916
112,13.449
113,4.535
114,18.396
115,1.237
116,5.617
117,3.916
118,1.340
119,1.134
120,1.804
121,2.937
122,2.731
123,2.731
124,3.813
125,3.556
126,3.298
127,2.731
128,1.700
129,3.298
130,2.886
131,5.204
132,7.008
133,3.401
134,1.907
135,1.958
136,1.752
137,2.680
138,0.876
139,0.103
140,0.567
141,3.195
142,1.288
143,1.082
144,3.298
145,0.309
146,1.855
147,0.618
148,3.143
149,1.391
150,2.834
151,2.010
152,1.907
153,6.647
154,0.361
155,7.266
156,1.391
157,2.989
158,12.779
159,7.832
160,2.937
161,1.752
162,3.401
163,0.876
164,3.349
165,0.876
166,1.443
167,3.246
168,5.668
169,1.855
170,1.237
171,0.258
172,0.103
