 ,Area
1,2.113
2,1.237
3,2.370
4,2.937
5,4.019
6,4.122
7,2.576
8,2.061
9,3.298
10,1.958
11,0.103
12,4.071
13,1.288
14,2.628
15,2.113
16,2.370
17,4.947
18,4.895
19,3.040
20,3.143
21,3.504
22,2.628
23,0.773
24,3.659
25,8.296
26,3.813
27,11.079
28,2.164
29,4.328
30,3.195
31,1.855
32,5.668
33,4.174
34,2.010
35,3.556
36,1.958
37,3.710
38,3.195
39,1.237
40,3.710
41,1.391
42,2.576
43,2.937
44,3.298
45,1.391
46,0.979
47,3.504
48,2.937
49,1.185
50,0.103
51,2.010
52,5.977
53,2.216
54,4.689
55,0.206
56,3.968
57,5.359
58,1.700
59,5.256
60,1.237
61,0.155
62,2.422
63,3.349
64,0.928
65,2.525
66,1.752
67,2.113
68,1.082
69,0.258
70,2.113
71,0.361
72,2.783
73,2.834
74,1.288
75,3.349
76,4.586
77,3.298
78,2.216
79,3.556
80,2.216
81,0.361
82,1.237
83,2.164
84,1.288
85,1.340
86,2.731
87,1.855
88,0.618
89,3.452
90,0.721
91,2.216
92,2.628
93,2.628
94,2.783
95,1.494
96,2.010
97,4.174
98,6.132
99,3.452
100,2.422
101,1.443
