 ,Area
1,0.515
2,3.040
3,7.884
4,1.031
5,1.804
6,0.979
7,0.721
8,3.607
9,6.235
10,5.668
11,6.183
12,1.907
13,7.008
14,3.298
15,4.174
16,19.272
17,2.576
18,3.349
19,8.605
20,55.754
21,3.556
22,4.638
23,29.629
24,3.195
25,4.277
26,3.916
27,3.452
28,5.256
29,3.143
30,30.763
31,6.596
32,3.195
33,11.955
34,3.762
35,8.193
36,1.804
37,2.113
38,4.174
39,1.804
40,3.556
41,17.108
42,2.680
43,5.462
44,3.195
45,5.411
46,0.567
47,4.792
48,0.824
49,3.298
50,2.216
51,3.916
52,5.565
53,0.103
54,3.968
55,1.082
56,3.040
57,0.103
58,5.514
59,3.504
60,0.567
61,3.504
62,3.143
63,2.525
64,3.401
65,3.143
66,18.087
67,1.958
68,5.256
69,1.649
70,3.607
71,1.649
72,49.416
73,47.922
74,3.246
75,20.354
76,3.092
77,9.275
78,3.401
79,1.855
80,16.592
81,4.895
82,1.649
83,79.097
84,2.783
85,10.821
86,1.700
87,15.304
88,7.266
89,3.916
90,1.443
91,2.216
92,3.401
93,1.958
94,1.649
95,3.607
96,0.206
97,8.348
98,1.494
99,1.546
100,1.237
101,1.855
102,5.101
103,2.267
104,1.185
105,3.504
106,2.216
107,1.082
108,3.762
109,2.267
110,0.876
111,2.113
112,2.576
113,2.370
114,10.667
115,3.452
116,2.937
117,4.947
118,7.884
119,5.823
120,1.907
121,3.504
122,45.449
123,1.804
124,13.294
125,3.040
126,3.504
127,7.420
128,5.462
129,3.762
130,0.206
131,2.886
132,29.990
133,10.821
134,7.832
135,0.155
136,0.979
137,0.773
138,2.216
139,3.298
140,3.659
141,3.659
142,5.462
143,4.638
144,4.638
145,3.246
146,1.443
147,2.989
148,6.338
149,3.401
150,4.380
151,2.731
152,4.844
153,3.246
154,2.886
155,2.061
156,2.886
157,16.644
158,1.082
159,3.607
160,17.520
161,7.369
162,1.443
163,0.876
