 ,Area
1,2.886
2,2.783
3,4.638
4,1.700
5,12.161
6,4.844
7,3.246
8,3.762
9,2.886
10,2.834
11,2.576
12,16.077
13,0.103
14,6.750
15,4.328
16,2.370
17,15.046
18,1.185
19,5.565
20,27.465
21,7.163
22,3.452
23,3.401
24,3.040
25,6.080
26,0.824
27,3.349
28,3.865
29,3.349
30,3.298
31,3.298
32,6.390
33,3.865
34,2.061
35,4.535
36,6.183
37,10.563
38,9.069
39,2.989
40,2.886
41,1.546
42,1.597
43,2.576
44,1.134
45,2.937
46,2.525
47,3.762
48,6.390
49,7.369
50,6.750
51,4.328
52,3.349
53,5.874
54,4.277
55,4.380
56,6.441
57,2.370
58,2.216
59,4.431
60,4.071
61,0.258
62,10.460
63,5.411
64,10.254
65,3.298
66,1.907
67,2.680
68,1.907
69,6.132
70,3.452
71,3.968
72,5.617
73,2.680
74,3.401
75,4.792
76,3.092
77,4.122
78,1.649
79,1.031
80,3.762
81,7.935
82,0.928
83,2.628
84,11.749
85,3.349
86,3.710
87,2.010
88,2.937
89,3.401
90,2.834
91,3.865
92,0.155
93,3.143
94,2.113
95,4.431
96,0.721
97,4.174
98,1.855
99,1.597
100,2.680
101,3.813
102,1.700
103,4.586
104,2.061
105,3.556
106,15.304
107,1.340
108,1.340
109,5.926
110,1.494
111,0.618
112,1.907
113,9.945
114,2.576
115,3.349
116,9.172
117,6.647
118,5.514
119,1.391
120,0.515
121,0.309
122,6.441
123,3.401
124,2.164
125,2.113
126,1.443
127,2.267
128,1.082
129,4.071
130,2.422
131,2.164
132,2.164
133,1.185
134,3.813
135,2.680
