 ,Area
1,0.206
2,0.464
3,3.504
4,3.813
5,2.473
6,3.504
7,2.267
8,3.298
9,2.216
10,1.907
11,0.103
12,0.206
13,2.834
14,0.361
15,1.649
16,0.773
17,3.607
18,13.346
19,1.546
20,1.237
21,0.773
22,2.937
23,5.050
24,2.525
25,3.195
26,4.998
27,0.618
28,0.103
29,0.412
30,2.267
31,3.401
32,6.544
33,1.082
34,2.731
35,2.319
36,3.916
37,2.783
38,2.628
39,2.061
40,1.546
41,3.710
42,2.473
43,4.277
44,0.206
45,2.370
46,7.369
47,2.164
48,4.019
49,3.040
50,2.937
51,3.092
52,2.422
53,3.349
54,1.237
55,0.876
56,5.307
57,3.298
58,2.576
59,1.082
60,2.576
61,2.473
62,2.886
63,2.628
64,4.277
65,1.597
66,2.010
67,1.391
68,1.340
69,2.164
70,1.597
71,3.349
72,0.773
73,1.649
74,1.391
75,0.824
76,2.010
77,2.216
78,2.576
79,1.391
80,4.638
81,8.090
82,2.473
83,2.010
84,0.103
85,3.452
86,5.101
87,3.195
88,1.546
89,2.525
90,2.628
91,5.514
92,3.349
93,2.783
94,1.546
95,1.958
96,1.237
97,0.412
98,3.762
99,2.473
100,2.216
101,2.680
102,1.597
103,1.649
104,0.155
105,1.649
106,3.092
107,1.700
108,1.958
109,4.741
110,0.670
111,2.422
112,0.515
113,3.452
114,1.443
115,1.649
116,2.061
117,1.494
118,2.525
119,2.216
120,2.731
121,1.082
122,4.689
123,0.928
124,0.773
125,1.958
126,2.731
127,2.731
128,1.700
129,2.061
130,1.649
131,1.288
132,0.979
133,2.680
134,2.886
135,1.082
136,2.370
137,4.483
138,1.907
139,1.804
140,1.237
141,3.556
142,1.546
143,1.237
144,0.876
145,1.855
146,3.865
147,3.710
148,0.206
149,0.103
150,3.040
151,2.783
152,0.773
153,0.309
154,0.928
155,0.876
156,0.412
157,3.452
158,1.546
159,2.319
160,0.979
161,0.824
162,1.752
163,1.237
164,0.670
165,2.422
166,2.061
167,2.061
168,2.113
169,2.061
170,2.267
171,1.907
172,0.155
173,2.267
174,1.237
175,2.216
176,1.597
177,2.164
178,0.618
