 ,Area
1,11.130
2,1.082
3,4.019
4,1.288
5,1.700
6,5.565
7,2.319
8,4.019
9,29.990
10,22.879
11,3.607
12,5.771
13,9.481
14,3.143
15,6.750
16,1.443
17,72.450
18,7.575
19,4.328
20,3.143
21,4.071
22,3.298
23,2.216
24,6.183
25,5.462
26,1.494
27,3.092
28,8.193
29,13.861
30,4.741
31,2.267
32,0.412
33,6.853
34,0.361
35,2.937
36,0.824
37,3.452
38,1.855
39,2.783
40,5.514
41,3.916
42,3.762
43,0.309
44,1.494
45,20.354
46,2.834
47,3.452
48,4.019
49,1.597
50,2.422
51,0.824
52,5.050
53,3.452
54,2.370
55,0.876
56,12.418
57,2.783
58,3.246
59,2.680
60,1.855
61,3.916
62,2.731
63,0.773
64,7.987
65,1.546
66,1.288
67,0.824
68,0.258
69,3.298
70,3.195
71,4.792
72,97.854
73,6.956
74,0.412
75,73.480
76,1.340
77,10.770
78,5.771
79,1.443
80,12.418
81,0.258
82,3.556
83,0.515
84,3.556
85,4.019
86,4.225
87,2.370
88,2.937
89,0.309
