 ,Area
1,0.773
2,0.103
3,0.103
4,0.155
5,0.103
6,0.103
7,6.338
8,4.741
9,0.103
10,0.567
11,1.700
12,1.494
13,0.464
14,4.431
15,0.721
16,11.285
17,2.216
18,0.773
19,0.361
20,0.103
21,4.225
22,2.267
23,0.103
24,0.670
25,2.267
26,6.647
27,19.633
28,1.237
29,1.443
30,7.008
31,0.155
32,1.907
33,1.288
34,20.869
35,2.989
36,3.504
37,0.258
38,0.412
39,3.349
40,2.216
41,0.155
42,3.349
43,42.563
44,0.773
45,1.649
46,0.721
47,1.494
48,0.361
49,0.515
50,0.155
51,3.607
52,0.876
53,4.225
54,2.319
55,2.010
56,0.361
57,12.676
58,0.567
59,0.258
60,13.552
61,7.369
62,5.514
63,0.928
64,3.556
65,0.515
66,15.253
67,4.174
68,0.824
69,0.206
70,0.155
71,3.401
72,0.155
73,0.155
74,2.113
75,2.886
76,5.514
77,4.844
78,0.103
79,1.546
80,1.443
81,0.824
82,3.504
83,0.721
84,4.844
85,2.731
86,2.267
87,5.617
88,4.483
89,21.127
90,2.834
91,47.458
92,0.309
93,0.876
94,12.212
95,2.010
96,1.082
97,0.567
98,0.515
99,1.288
100,10.512
101,3.607
102,0.876
103,2.216
104,1.237
105,0.361
106,1.134
107,7.729
108,5.411
109,5.926
110,1.185
111,2.731
112,5.462
113,1.855
114,1.443
115,0.412
116,4.328
117,4.277
118,3.607
119,3.401
120,6.853
121,2.628
122,4.638
123,16.026
124,4.689
125,7.626
126,0.103
127,0.309
128,4.071
129,1.288
130,0.464
131,3.092
132,2.113
133,1.443
134,9.121
135,2.061
136,3.556
137,1.443
138,0.567
139,0.464
140,0.773
141,0.824
142,0.928
143,3.195
144,4.328
145,1.700
146,0.155
147,0.103
148,0.721
149,1.082
150,5.359
151,2.628
152,3.710
153,1.494
154,0.155
155,2.370
156,1.082
157,0.206
158,0.515
159,4.122
160,2.216
161,5.411
162,3.556
163,1.134
164,0.928
165,0.773
166,0.309
167,0.773
168,0.773
169,0.773
170,2.989
171,1.288
172,1.134
173,0.155
174,4.174
175,1.185
176,2.267
177,1.855
178,0.103
179,4.535
180,1.855
181,1.340
182,1.649
183,1.288
184,1.700
185,1.340
186,0.773
187,1.237
188,0.412
189,1.804
190,2.061
191,1.649
192,1.649
193,0.206
