 ,Area
1,2.731
2,6.080
3,3.452
4,2.525
5,3.762
6,2.319
7,3.710
8,2.834
9,16.747
10,4.328
11,2.886
12,5.720
13,7.729
14,2.319
15,5.565
16,0.103
17,2.525
18,2.525
19,7.266
20,2.834
21,3.865
22,3.143
23,3.659
24,2.783
25,2.989
26,4.638
27,3.349
28,2.576
29,2.937
30,3.298
31,3.246
32,3.195
33,2.731
34,3.092
35,19.993
36,2.370
37,9.172
38,0.928
39,3.607
40,8.657
41,2.628
42,7.781
43,2.783
44,3.813
45,3.968
46,3.659
47,5.101
48,2.783
49,3.762
50,6.080
51,2.834
52,3.401
53,2.731
54,3.659
55,2.886
56,5.720
57,0.824
58,3.401
59,2.680
60,2.216
61,2.783
62,8.915
63,3.762
64,3.813
65,3.040
66,3.607
67,1.958
68,2.834
69,5.359
70,2.164
71,2.834
72,3.504
73,4.225
74,2.834
75,4.328
76,2.576
77,3.298
78,4.431
79,4.483
80,13.449
81,4.741
82,1.752
83,2.937
84,2.525
85,3.143
86,3.659
87,2.834
88,2.731
89,1.288
90,2.834
91,2.989
92,4.019
93,2.886
94,4.174
95,2.319
96,5.668
97,2.834
98,26.022
99,6.441
100,4.895
101,3.092
102,3.349
103,2.783
104,1.804
105,2.422
106,11.491
107,3.504
108,7.008
109,2.886
110,4.071
111,2.937
112,3.452
113,3.349
114,3.607
115,4.174
116,3.452
117,6.029
118,12.058
119,2.680
120,4.380
121,3.968
122,2.422
123,2.886
124,2.267
125,3.143
126,12.522
127,0.206
128,4.122
129,2.628
130,3.607
131,2.937
132,4.380
133,2.937
134,2.834
135,3.504
136,2.525
137,2.731
138,2.937
139,2.319
140,3.092
141,3.452
142,2.525
143,4.638
144,4.225
145,3.968
146,2.061
147,2.525
148,3.865
149,14.377
150,2.370
151,5.668
152,6.132
153,2.113
154,1.907
155,1.443
156,3.092
157,7.678
158,1.907
159,5.050
160,5.977
161,3.092
162,3.659
163,2.680
164,2.010
165,2.525
166,2.422
167,2.370
168,1.958
169,3.710
170,1.494
171,2.267
172,3.092
173,3.246
174,4.174
175,2.267
176,2.370
177,2.525
178,8.708
179,4.328
180,2.010
181,4.431
182,4.689
183,8.915
184,2.113
185,7.420
186,2.216
187,2.731
188,4.741
189,2.783
190,5.307
191,2.370
192,5.926
193,7.266
194,4.998
195,2.113
196,7.884
197,5.359
198,3.556
199,4.431
200,3.452
201,4.019
202,4.586
203,2.628
204,1.907
205,3.246
206,3.865
207,1.443
208,2.680
209,1.185
210,1.855
211,5.977
212,2.834
213,4.019
214,1.649
215,2.422
216,3.504
217,2.680
218,3.659
219,2.628
220,8.399
221,3.143
222,2.319
223,2.061
224,2.319
225,6.905
226,2.267
227,2.422
228,3.040
229,4.998
230,2.370
231,5.720
232,11.542
233,2.164
234,1.958
235,2.989
236,1.907
237,6.956
238,3.659
239,2.319
240,3.349
241,2.783
242,4.998
243,2.783
244,2.267
245,1.752
246,7.420
247,1.958
248,6.029
249,2.576
250,1.443
251,1.649
252,8.090
253,3.401
254,2.113
255,0.773
256,1.855
257,3.349
258,3.143
259,2.834
260,1.134
261,2.783
262,2.473
263,1.340
264,6.183
265,3.040
266,2.525
267,2.010
268,2.731
269,0.155
270,1.804
271,7.678
272,2.731
273,4.122
274,2.061
275,4.792
276,2.525
277,2.937
278,6.905
279,2.164
280,0.567
281,1.958
282,1.700
283,1.752
284,2.576
285,3.916
286,4.380
287,1.804
288,2.422
289,2.216
290,1.031
291,1.546
292,3.246
293,1.288
294,3.092
295,2.319
296,2.937
297,2.525
298,1.958
299,3.968
300,3.195
301,2.370
302,2.216
303,2.628
304,0.206
305,7.163
306,5.462
307,1.031
308,6.441
309,2.061
310,2.319
311,1.494
312,3.195
313,1.443
314,2.473
315,0.773
316,2.164
317,1.031
318,0.464
319,1.752
320,0.928
321,1.804
322,1.752
323,1.958
324,1.700
325,1.031
326,3.195
327,2.731
328,2.731
329,1.443
330,2.989
331,0.155
332,2.731
333,2.216
334,1.597
335,2.319
336,2.989
337,2.525
338,0.618
339,12.625
340,3.916
341,3.762
342,0.618
343,0.876
344,2.783
345,1.443
346,2.628
347,2.010
348,5.256
349,3.710
350,1.907
351,2.576
352,2.216
353,3.556
354,0.052
355,1.494
356,2.010
357,0.103
358,1.288
359,1.443
360,1.185
361,3.143
362,0.052
363,3.504
364,2.834
365,0.567
366,1.494
367,0.567
368,4.122
369,1.185
370,1.958
371,12.109
372,1.237
373,1.597
374,0.670
375,1.237
376,1.494
377,0.052
378,2.422
379,1.031
380,2.628
381,2.267
382,1.494
383,3.452
384,0.464
