 ,Area
1,1.288
2,0.155
3,2.113
4,1.237
5,2.937
6,2.473
7,1.082
8,1.546
9,4.225
10,3.710
11,2.731
12,3.349
13,8.348
14,1.958
15,2.576
16,1.907
17,4.535
18,5.771
19,1.494
20,2.473
21,3.246
22,2.216
23,3.092
24,3.916
25,2.731
26,0.979
27,2.834
28,8.142
29,2.422
30,2.473
31,2.783
32,0.309
33,1.494
34,2.164
35,3.040
36,4.844
37,3.916
38,2.061
39,2.010
40,2.216
41,3.556
42,2.886
43,6.080
44,2.680
45,0.515
46,2.576
47,7.935
48,2.731
49,2.216
50,2.319
51,1.185
52,2.628
53,2.731
54,0.928
55,1.752
56,2.370
57,1.958
58,2.319
59,2.422
60,0.155
61,4.844
62,3.349
63,2.628
64,2.731
65,1.958
66,1.597
67,1.082
68,6.080
69,2.164
70,2.473
71,2.886
72,1.804
73,1.907
74,0.361
75,1.134
76,1.443
77,2.731
78,2.628
79,4.277
80,1.082
81,2.010
82,2.680
83,3.452
84,1.443
85,2.783
86,2.113
87,1.185
88,9.327
89,2.834
90,1.597
91,2.525
92,8.039
93,4.535
94,1.340
95,3.195
96,7.266
97,3.401
98,3.607
99,4.535
100,1.031
101,2.216
102,1.804
103,4.431
104,3.143
105,4.895
106,3.865
107,3.504
108,1.752
109,2.422
110,2.834
111,0.155
112,1.804
113,6.750
114,3.040
115,0.515
116,1.546
117,1.237
118,2.370
119,1.340
120,1.700
121,2.267
122,1.855
123,0.103
124,0.618
125,2.216
126,5.050
127,1.391
128,2.473
129,3.401
130,16.798
131,0.928
132,0.979
133,2.061
134,4.225
135,3.349
136,3.659
137,2.680
138,1.494
139,1.700
140,3.143
141,2.010
142,4.225
143,1.134
144,12.161
145,10.048
146,1.031
147,1.907
148,1.907
149,3.452
150,2.525
151,1.237
152,5.926
153,2.731
154,1.958
155,1.752
156,1.237
157,2.370
158,0.464
159,1.752
160,2.010
161,4.483
162,4.689
163,5.204
164,1.443
165,0.464
166,2.061
167,7.163
168,5.101
169,0.309
170,0.309
171,0.567
172,0.670
173,0.618
174,2.370
175,0.928
176,0.206
177,2.422
178,1.134
179,2.834
180,0.670
181,0.824
182,1.134
183,0.155
184,0.464
185,1.907
186,1.804
187,4.844
188,2.628
189,2.061
190,1.031
191,1.391
192,1.700
193,2.164
194,1.855
195,1.031
196,1.237
197,2.937
