 ,Area
1,1.082
2,0.876
3,0.567
4,1.237
5,0.721
6,0.361
7,1.082
8,0.618
9,1.597
10,0.155
11,1.855
12,1.031
13,0.412
14,1.494
15,1.546
16,0.206
17,0.824
18,0.103
19,1.443
20,2.319
21,1.804
22,6.235
23,0.515
24,0.670
25,0.824
26,1.958
27,2.937
28,0.361
29,1.546
30,0.412
31,0.876
32,3.195
33,0.824
34,4.380
35,0.103
36,0.361
37,1.649
38,3.092
39,62.917
40,0.618
41,0.876
42,0.618
43,0.155
44,0.721
45,1.237
46,0.155
47,1.288
48,3.762
49,0.464
50,1.185
51,1.855
52,1.494
53,1.752
54,1.804
55,0.824
56,0.670
57,0.206
58,4.328
59,1.134
60,0.876
61,0.515
62,2.989
63,0.567
64,4.277
65,6.338
66,4.431
67,0.928
68,0.103
69,0.773
70,17.211
71,0.103
72,1.649
73,7.111
74,0.155
75,0.721
76,2.422
77,1.804
78,1.134
79,1.031
80,1.804
81,0.515
82,1.391
83,1.082
84,0.567
85,2.319
86,35.143
87,7.369
88,2.989
89,1.237
90,0.721
91,0.618
92,4.328
93,0.567
94,0.773
95,23.961
96,0.721
97,0.928
98,0.206
99,2.164
100,0.464
101,1.546
102,1.340
103,0.258
104,0.773
105,12.212
106,2.937
107,0.103
108,3.092
109,61.526
110,0.258
111,0.567
112,5.204
113,0.670
114,2.216
115,0.979
116,0.103
117,0.721
118,0.979
119,4.741
120,0.670
121,1.082
122,0.670
123,0.206
124,0.361
125,0.567
126,1.185
127,1.597
128,2.216
129,0.412
130,1.391
131,3.401
132,1.391
133,0.928
134,0.155
135,1.237
136,5.565
137,1.185
138,1.958
139,2.010
140,0.618
141,1.237
142,4.071
143,18.757
144,0.824
145,0.309
146,0.103
147,1.134
148,0.361
149,1.752
150,0.103
151,0.103
152,0.876
153,0.103
154,1.804
155,2.576
156,0.928
157,1.134
158,1.134
159,3.968
160,0.515
161,0.979
162,2.010
163,1.958
164,3.865
165,0.206
166,3.556
167,2.061
168,0.618
169,1.855
170,4.122
171,1.700
172,1.134
173,0.876
174,0.515
175,0.412
176,0.464
177,1.185
178,0.721
179,1.340
180,4.277
181,1.031
182,0.103
183,0.721
184,0.618
185,0.773
186,0.979
187,2.267
188,0.721
189,2.010
190,0.928
191,4.741
192,2.267
193,0.824
194,1.804
195,1.855
196,111.663
197,0.515
198,1.031
199,0.361
200,0.206
201,0.618
202,1.752
203,0.824
204,1.546
205,24.116
206,2.886
207,0.928
208,2.370
209,1.288
210,1.855
211,5.874
212,0.721
213,9.018
214,14.634
215,1.700
216,0.721
217,5.050
218,0.567
219,2.061
220,5.617
221,14.274
222,5.411
223,1.185
224,1.134
225,43.027
226,0.670
227,0.361
228,1.597
229,0.361
230,1.134
231,1.443
232,0.515
233,1.494
234,0.103
235,12.625
236,13.707
237,0.773
238,26.898
239,0.155
240,0.103
241,0.824
242,0.155
243,2.370
244,1.597
245,0.876
246,1.237
247,1.804
248,0.361
249,1.288
250,7.059
251,1.031
252,0.824
253,7.935
254,1.031
255,0.721
256,0.824
257,0.155
258,21.333
259,32.463
260,4.431
261,0.103
262,5.823
263,0.206
264,0.361
265,0.876
266,10.512
267,1.082
268,0.618
269,1.546
270,0.721
271,8.502
272,0.103
273,2.731
274,0.773
275,0.412
276,3.452
277,2.937
278,2.731
279,2.010
280,5.359
281,1.546
282,7.317
283,0.670
284,0.824
285,0.103
286,0.206
287,4.947
288,1.494
289,0.412
290,0.155
291,3.916
292,1.237
293,3.452
294,6.544
295,0.309
296,0.258
297,0.773
298,5.307
299,0.567
300,1.855
301,0.567
302,0.567
303,8.605
304,27.671
305,1.907
306,2.886
307,0.206
308,130.678
309,0.464
310,0.979
311,4.277
312,0.464
313,1.546
314,2.422
315,0.155
316,0.824
317,0.567
318,0.567
319,1.752
320,1.546
321,0.515
322,0.361
323,1.700
324,0.155
325,0.824
326,2.525
327,0.155
328,4.741
329,0.103
330,0.206
331,1.855
332,1.031
333,0.567
334,1.649
335,0.618
336,0.979
337,0.515
338,1.443
339,0.103
340,0.979
341,1.082
342,0.103
343,0.103
344,1.958
345,1.855
346,18.396
347,0.103
348,0.103
349,1.288
350,1.134
