 ,Area
1,1.752
2,4.174
3,1.546
4,0.773
5,0.979
6,0.618
7,24.889
8,4.947
9,2.267
10,0.206
11,6.544
12,0.979
13,0.824
14,0.309
15,3.504
16,2.370
17,0.928
18,0.979
19,4.844
20,0.618
21,16.077
22,0.103
23,3.092
24,2.422
25,0.670
26,12.367
27,1.700
28,0.309
29,0.979
30,0.464
31,1.391
32,2.473
33,0.824
34,5.359
35,1.237
36,0.928
37,5.050
38,0.309
39,4.947
40,2.216
41,2.010
42,1.340
43,2.989
44,1.907
45,0.567
46,1.752
47,116.198
48,1.752
49,2.989
50,1.391
51,5.565
52,3.040
53,1.855
54,1.082
55,4.225
56,1.958
57,6.132
58,0.773
59,1.752
60,1.443
61,0.309
62,0.773
63,1.958
64,6.802
65,1.443
66,1.082
67,11.027
68,2.937
69,7.832
70,0.103
71,0.928
72,5.977
73,1.907
74,2.576
75,0.618
76,14.274
77,1.340
78,1.855
79,0.670
80,1.649
81,2.061
82,79.097
83,1.237
84,0.309
85,2.370
86,0.515
87,0.103
88,2.267
89,3.143
90,0.721
91,0.103
92,9.842
93,2.010
94,1.907
95,0.670
96,24.940
97,5.101
98,306.185
99,1.340
100,2.216
101,0.979
102,0.618
103,0.258
104,0.464
105,42.614
106,0.103
107,2.473
108,4.019
109,3.659
110,1.494
111,0.103
112,3.762
113,0.876
114,1.082
115,0.721
116,5.977
117,1.237
118,2.937
119,1.958
120,0.773
121,7.781
122,0.979
123,0.824
124,5.514
125,0.155
126,41.893
127,0.464
128,2.680
129,1.391
130,1.958
131,0.773
132,1.700
133,0.258
134,0.464
135,8.399
136,0.361
137,2.525
138,2.164
139,0.103
140,6.853
141,1.804
142,2.937
143,1.082
144,0.515
145,12.006
146,1.340
147,3.246
148,0.824
149,1.185
150,0.567
151,1.391
152,7.678
153,1.700
154,1.340
155,1.752
156,1.340
157,0.618
158,47.458
159,1.237
160,9.533
161,2.113
162,1.752
163,2.216
164,0.567
165,0.721
166,1.700
167,0.979
168,1.237
169,20.560
170,1.443
171,0.824
172,0.412
173,1.855
174,5.668
