 ,Area
1,9.327
2,4.071
3,6.544
4,10.512
5,1.958
6,3.246
7,2.319
8,0.206
9,0.361
10,2.422
11,5.256
12,4.277
13,0.155
14,2.576
15,0.721
16,3.092
17,5.977
18,9.327
19,11.079
20,0.412
21,1.700
22,3.143
23,7.163
24,4.225
25,3.762
26,3.762
27,5.462
28,2.937
29,4.225
30,1.340
31,8.245
32,4.689
33,6.287
34,5.153
35,3.092
36,3.040
37,5.101
38,7.884
39,3.452
40,7.317
41,15.768
42,5.823
43,3.195
44,2.525
45,4.225
46,3.607
47,6.905
48,3.504
49,4.328
50,10.203
51,5.204
52,4.535
53,3.195
54,4.071
55,3.401
56,7.575
57,3.401
58,1.752
59,8.142
60,3.710
61,3.143
62,3.092
63,8.348
64,3.607
65,3.556
66,4.483
67,4.328
68,3.092
69,10.873
70,3.659
71,2.783
72,4.225
73,4.019
74,2.319
75,3.607
76,3.710
77,1.649
78,3.298
79,3.092
80,5.307
81,3.556
82,4.019
83,3.813
84,2.473
85,4.431
86,3.865
87,2.680
88,2.061
89,2.731
90,9.430
91,1.546
92,4.586
93,0.979
94,7.111
95,3.040
96,4.122
97,2.473
98,3.092
99,3.040
100,10.100
101,10.976
102,3.607
103,3.143
104,3.349
105,3.865
106,8.193
107,8.708
108,2.680
109,2.989
110,11.027
111,2.834
112,2.989
113,5.204
114,2.834
115,3.762
116,25.198
117,3.659
118,3.195
119,7.163
120,2.267
121,2.783
122,2.370
123,3.298
124,2.989
125,4.586
126,6.802
127,3.556
128,3.659
129,2.010
130,2.370
131,2.422
132,2.319
133,3.092
134,4.792
135,2.525
136,2.061
137,2.525
138,3.092
139,2.783
140,1.700
141,2.628
142,2.937
143,2.628
144,6.390
145,1.185
146,4.071
147,2.680
148,3.040
149,3.710
150,2.010
151,1.031
152,5.256
153,3.865
154,2.113
155,1.237
156,3.092
157,4.380
158,3.401
159,2.989
160,2.989
161,3.762
162,3.710
163,1.752
164,2.989
165,2.783
166,2.010
167,2.061
168,3.865
169,3.710
170,1.391
171,1.855
172,1.546
173,4.071
174,7.626
175,3.143
176,1.804
177,4.638
178,7.317
179,31.278
180,16.695
181,2.886
182,5.462
183,1.391
184,2.216
185,3.813
186,0.824
187,2.113
188,1.649
189,1.494
190,3.710
191,4.225
192,0.155
193,4.792
194,6.544
195,7.369
196,2.473
197,8.811
198,2.628
199,9.533
200,14.531
201,2.628
202,1.237
203,3.040
204,3.659
205,3.349
206,3.865
207,3.401
208,3.968
209,1.031
210,3.813
211,4.741
212,5.514
213,12.470
214,2.216
215,4.895
216,1.134
217,2.473
218,3.813
219,3.916
220,17.778
221,3.195
222,2.886
223,2.473
224,0.876
225,2.061
226,2.422
227,0.670
228,2.422
229,2.525
230,2.216
231,11.439
232,2.834
233,6.132
234,1.546
235,2.370
236,7.626
237,2.628
238,0.206
239,0.258
240,3.401
241,5.411
242,2.783
243,5.874
244,9.739
245,2.370
246,3.092
247,1.700
248,2.319
249,1.597
250,3.040
251,7.317
252,3.143
253,2.576
254,2.989
255,1.855
256,2.473
257,17.211
258,1.649
259,1.391
260,2.731
261,9.894
262,2.267
263,2.164
264,0.567
265,2.113
266,2.937
267,0.515
268,2.989
269,2.267
270,2.370
271,1.907
272,6.647
273,7.111
274,0.361
275,2.937
276,1.237
277,1.958
278,0.979
279,2.783
280,3.452
281,5.823
282,2.628
283,7.987
284,3.556
285,3.452
286,1.185
287,2.628
288,0.721
289,1.804
290,2.422
291,2.113
292,2.216
293,6.390
294,3.298
295,1.443
296,2.319
297,3.556
298,19.839
299,4.741
300,1.443
301,0.155
302,1.907
303,2.010
304,5.204
305,2.370
306,1.082
307,1.804
308,1.031
309,1.031
310,9.687
311,3.040
312,1.907
313,2.576
314,0.361
315,2.834
316,0.464
317,0.773
318,2.422
319,6.183
320,2.267
321,34.627
322,9.327
323,1.546
324,1.288
325,0.979
326,1.237
327,1.443
328,1.494
329,1.700
330,1.700
331,2.370
332,1.082
333,0.103
