 ,Area
1,1.855
2,5.462
3,4.895
4,2.989
5,2.628
6,2.731
7,4.225
8,3.092
9,3.349
10,4.431
11,7.678
12,4.535
13,3.143
14,2.783
15,4.174
16,5.411
17,5.050
18,3.762
19,12.625
20,2.834
21,0.928
22,4.380
23,4.689
24,6.080
25,8.966
26,3.659
27,4.071
28,4.792
29,6.029
30,3.865
31,4.122
32,5.874
33,2.010
34,3.401
35,3.968
36,5.823
37,3.504
38,1.649
39,5.307
40,4.225
41,4.741
42,3.968
43,2.834
44,3.607
45,4.895
46,0.206
47,4.483
48,2.473
49,2.164
50,2.886
51,1.288
52,4.689
53,2.319
54,3.092
55,6.544
56,3.865
57,3.710
58,3.968
59,5.411
60,3.401
61,4.019
62,7.987
63,2.473
64,2.731
65,3.401
66,4.225
67,1.958
68,4.586
