 ,Area
1,0.567
2,3.504
3,4.380
4,5.204
5,2.525
6,2.937
7,7.369
8,4.174
9,2.731
10,2.010
11,2.061
12,8.657
13,3.504
14,1.649
15,2.680
16,6.338
17,6.750
18,2.989
19,2.886
20,2.680
21,4.071
22,3.143
23,1.958
24,2.628
25,3.040
26,4.174
27,4.019
28,3.452
29,11.542
30,1.958
31,4.431
32,1.855
33,10.460
34,15.922
35,16.283
36,6.853
37,9.172
38,2.628
39,0.464
40,4.225
41,3.968
42,3.916
43,6.493
44,4.277
45,2.628
46,2.010
47,2.422
48,3.762
49,13.398
50,2.783
51,3.865
52,2.937
53,2.937
54,1.391
55,4.895
56,1.340
57,3.762
58,2.886
59,2.834
60,2.525
61,1.597
62,3.556
63,4.174
64,3.246
65,26.434
66,6.493
67,5.256
68,2.576
69,3.556
70,3.298
71,9.121
72,5.204
73,6.183
74,32.309
75,2.989
76,4.225
77,3.349
78,7.163
79,3.092
80,2.010
81,5.823
82,5.823
83,5.514
84,6.647
85,8.554
86,2.628
87,1.700
88,2.370
89,6.493
90,9.636
91,3.401
92,24.992
93,4.225
94,7.163
95,9.997
96,4.071
97,2.319
98,16.489
99,33.339
100,11.336
101,9.018
102,2.628
103,3.813
104,10.048
105,4.071
106,4.071
107,0.773
108,3.968
109,9.224
110,4.019
111,2.525
112,2.680
113,4.019
114,10.100
115,2.010
116,1.907
117,2.113
118,1.288
119,5.874
120,7.832
121,1.804
122,6.441
123,4.998
124,1.134
125,7.987
126,3.504
127,2.989
128,7.059
129,1.855
130,10.306
131,2.164
132,6.390
133,5.771
134,5.565
135,5.359
136,8.708
137,7.420
138,3.092
139,10.615
140,3.092
141,4.071
142,3.659
143,7.523
144,3.349
145,1.752
146,3.349
147,2.937
148,2.422
149,6.853
150,1.804
151,2.783
152,0.206
153,13.243
154,1.237
155,1.288
156,4.071
157,2.576
158,2.886
159,4.895
160,1.597
161,1.700
162,6.853
163,2.576
164,1.958
165,8.502
166,0.773
167,5.514
168,3.710
169,1.752
170,3.246
171,0.773
172,2.216
173,5.823
174,1.597
175,2.319
176,7.781
177,2.783
178,2.525
179,2.061
180,0.206
181,4.328
182,1.907
183,1.443
184,4.741
185,5.101
186,2.989
187,8.245
188,1.494
189,1.494
190,9.327
191,1.855
192,2.267
193,1.391
194,5.411
195,0.670
196,2.061
197,1.855
198,18.344
199,0.721
200,0.155
201,2.576
202,3.710
203,3.092
204,7.935
205,1.649
206,0.928
207,2.628
208,0.928
209,1.288
210,1.185
211,0.979
212,1.546
213,2.267
214,1.700
215,1.958
216,1.134
217,1.649
218,3.246
219,0.567
220,1.804
221,0.309
222,7.523
223,0.618
224,22.312
225,1.494
226,4.895
227,2.989
228,1.082
229,2.113
230,1.649
231,1.907
232,1.288
233,0.979
234,2.061
235,1.855
236,6.544
237,9.327
238,2.886
239,8.966
240,3.298
241,2.113
242,1.340
243,0.928
244,1.340
245,3.916
246,2.731
247,1.597
248,1.752
249,1.700
250,0.670
251,18.757
252,1.237
253,1.185
254,15.768
255,1.546
256,5.514
257,0.103
