 ,Area
1,0.309
2,4.638
3,12.367
4,4.741
5,3.762
6,0.515
7,5.514
8,4.895
9,1.237
10,4.998
11,4.380
12,4.431
13,2.989
14,6.183
15,6.287
16,3.659
17,3.195
18,3.452
19,1.185
20,4.431
21,2.834
22,5.668
23,4.122
24,2.061
25,5.307
26,0.515
27,0.567
28,0.052
29,2.164
30,5.307
31,2.989
32,9.275
33,3.143
34,2.783
35,0.979
36,3.968
37,3.813
38,3.968
39,2.164
40,3.195
41,0.206
42,16.850
43,2.834
44,3.710
45,4.277
46,4.071
47,3.401
48,1.288
49,2.525
50,6.647
51,0.876
52,4.225
53,4.277
54,4.122
55,9.430
56,4.174
57,3.607
58,3.607
59,2.937
60,11.130
61,1.958
62,0.258
63,10.615
64,9.378
65,5.101
66,0.258
67,7.781
68,0.928
69,0.979
70,3.504
71,0.206
72,3.556
73,5.926
74,3.349
75,0.464
76,6.905
77,10.460
78,1.958
79,3.813
80,3.916
81,1.340
82,3.710
83,5.359
84,1.082
85,2.937
86,0.515
87,0.670
88,2.473
89,1.958
90,0.206
91,2.989
92,0.824
93,4.844
94,4.844
95,0.979
96,2.731
97,3.865
98,2.164
99,2.216
100,2.628
101,3.143
102,2.267
103,7.059
104,3.092
105,2.989
106,2.783
107,2.576
108,5.462
109,9.636
110,0.103
111,3.813
112,2.628
113,4.174
114,2.628
115,4.535
116,2.937
117,4.638
118,6.905
119,1.958
120,3.556
121,3.556
122,5.977
123,4.380
124,3.143
125,2.370
126,3.504
127,1.958
128,3.143
129,11.594
130,2.164
131,3.092
132,2.886
133,2.422
134,3.092
135,1.391
136,11.955
137,4.998
138,5.204
139,4.638
140,2.525
141,4.380
142,0.258
143,5.823
144,1.082
145,4.328
146,0.773
147,3.813
148,0.979
149,4.380
150,2.525
151,3.143
152,3.607
153,2.267
154,3.401
155,1.494
156,2.886
157,2.422
158,2.937
159,0.618
160,0.155
161,7.266
162,12.522
163,3.246
164,2.576
165,3.040
166,6.493
167,2.628
168,4.844
169,6.235
170,3.607
171,2.834
172,3.246
173,9.481
174,3.710
175,3.195
176,2.216
177,4.586
178,2.370
179,4.638
180,0.052
181,2.628
182,6.183
183,3.452
184,4.277
185,3.246
186,3.349
187,1.082
188,3.401
189,5.874
190,2.422
191,1.546
192,2.319
193,4.741
194,11.388
195,1.546
196,2.731
197,2.370
198,2.267
199,3.762
200,7.884
