 ,Area
1,16.489
2,2.370
3,3.092
4,8.142
5,3.143
6,2.731
7,3.195
8,3.246
9,2.937
10,12.161
11,2.576
12,2.473
13,9.327
14,3.813
15,4.535
16,3.762
17,4.019
18,4.122
19,3.401
20,1.855
21,7.575
22,3.968
23,2.628
24,1.649
25,8.451
26,2.525
27,2.216
28,3.246
29,15.201
30,48.849
31,4.431
32,3.298
33,2.628
34,0.670
35,4.019
36,6.544
37,3.916
38,6.441
39,4.947
40,2.319
41,3.195
42,3.092
43,4.844
44,6.235
45,3.246
46,7.008
47,9.172
48,43.336
49,3.143
50,8.605
51,10.770
52,4.483
53,42.563
54,11.336
55,4.741
56,3.195
57,8.348
58,5.771
59,0.567
60,7.729
61,3.762
62,2.731
63,2.989
64,1.494
65,9.224
66,0.155
67,12.573
68,5.153
69,53.951
70,16.026
71,2.010
72,0.361
73,4.225
74,2.937
75,5.720
76,5.256
77,2.834
78,2.628
79,3.504
80,9.687
81,2.267
82,19.890
83,3.968
84,19.169
85,10.718
86,3.143
87,23.858
88,2.937
89,2.783
90,10.718
91,9.172
92,4.638
93,16.902
94,4.741
95,4.174
96,7.884
97,10.667
98,3.452
99,3.092
100,4.380
101,3.452
102,2.834
103,3.143
104,9.945
105,2.731
106,2.783
107,6.699
108,2.010
109,3.504
110,21.951
111,4.792
112,2.937
113,4.071
114,3.865
115,3.659
116,4.277
117,6.029
118,5.514
119,4.895
120,3.968
121,3.298
122,3.607
123,3.349
124,3.143
125,9.069
126,2.422
127,3.556
128,8.863
129,4.483
130,3.195
131,8.142
132,0.361
133,3.865
134,1.700
135,3.762
136,3.246
137,14.428
138,1.649
139,4.998
140,3.556
141,3.143
142,3.298
143,5.565
144,6.596
145,1.752
146,15.768
147,4.277
148,5.204
149,3.813
150,7.163
151,4.689
152,0.567
153,1.958
154,2.216
155,4.947
156,2.989
157,3.452
158,0.155
159,0.309
160,3.659
161,4.483
162,7.008
163,4.380
164,0.515
165,2.731
166,3.762
167,1.855
168,1.907
169,3.349
170,2.473
171,3.504
172,2.319
173,4.277
174,1.082
175,3.195
176,19.426
177,3.040
178,9.636
179,0.464
180,1.752
181,1.649
182,1.700
183,6.802
184,1.391
185,9.687
186,4.071
187,0.052
188,44.006
189,2.576
190,3.092
191,14.737
192,2.267
193,2.422
194,4.483
195,4.638
196,3.298
197,1.907
198,9.636
199,4.019
200,4.535
201,6.544
202,0.052
203,3.092
204,2.370
205,3.195
206,1.546
207,41.687
208,10.924
209,4.277
210,4.019
211,3.968
212,3.040
213,10.924
214,10.821
215,1.649
216,4.741
217,4.122
218,2.834
219,4.328
220,20.663
221,3.092
222,16.798
223,3.504
224,1.185
225,19.478
226,3.143
227,2.113
228,4.019
229,0.206
230,9.842
231,2.834
232,8.915
233,5.462
234,5.411
235,2.473
236,1.804
237,2.267
238,2.216
239,6.750
240,3.659
241,1.700
242,2.113
243,3.040
244,1.804
245,6.802
246,5.307
247,2.576
248,6.338
249,2.319
250,2.783
251,2.473
252,1.134
253,2.731
254,2.576
255,24.940
256,4.895
257,0.464
258,4.328
259,3.040
260,6.956
261,2.576
262,22.570
263,2.628
264,1.855
265,2.989
266,2.267
267,2.576
268,2.525
269,9.945
270,3.813
271,2.216
272,2.989
273,1.443
274,3.607
275,8.348
276,3.865
277,2.834
278,2.422
279,2.628
280,2.113
281,2.731
282,3.813
283,2.010
284,1.443
285,1.649
286,3.195
287,3.298
288,2.628
289,4.431
290,4.895
291,7.626
292,2.370
293,5.204
294,8.863
295,2.370
296,1.700
297,0.361
298,11.027
299,2.113
300,3.246
301,3.298
302,2.267
303,1.597
304,14.222
305,1.804
306,2.473
307,4.535
308,6.183
309,3.556
310,4.431
311,0.103
312,2.267
313,9.069
314,0.103
315,3.401
316,3.762
317,0.928
318,2.010
319,2.061
320,15.098
321,2.834
322,2.783
323,4.741
324,3.813
325,3.040
326,3.968
327,0.052
328,9.430
329,1.391
330,14.995
331,5.977
332,0.567
333,2.216
334,8.811
335,3.813
336,1.700
337,9.430
338,2.680
339,5.617
340,4.431
341,2.010
342,10.976
343,1.288
344,11.233
345,4.431
346,0.309
347,0.052
348,0.721
349,2.937
350,1.752
351,24.940
352,1.237
353,1.804
354,2.216
355,2.628
356,3.246
357,1.237
358,0.979
359,0.309
