 ,Area
1,3.968
2,3.401
3,2.525
4,0.464
5,6.132
6,2.061
7,3.349
8,3.092
9,5.411
10,1.804
11,1.546
12,2.216
13,2.783
14,0.979
15,0.876
16,1.546
17,1.907
18,3.968
19,4.947
20,0.618
21,1.700
22,2.319
23,0.309
24,1.855
25,2.422
26,6.029
27,2.576
28,7.111
29,2.731
30,1.855
31,3.607
32,3.092
33,6.853
34,4.328
35,8.657
36,1.907
37,2.628
38,2.783
39,2.680
40,8.502
41,1.340
42,0.052
43,3.143
44,2.010
45,5.668
46,1.443
47,2.576
48,7.626
49,1.752
50,3.195
51,3.195
52,10.357
53,2.370
54,2.216
55,0.979
56,3.968
57,3.401
58,1.546
59,1.185
60,5.153
61,4.122
62,1.185
63,1.546
64,4.277
65,0.103
66,2.525
67,6.235
68,1.958
69,6.699
70,2.061
71,4.586
72,1.958
73,2.886
74,0.155
75,2.834
76,8.142
77,9.430
78,2.010
79,0.773
80,6.750
81,5.101
82,3.813
83,0.052
84,3.659
85,3.401
86,3.865
87,6.956
88,2.422
89,4.019
90,3.659
91,3.968
92,3.762
93,6.544
94,8.451
95,2.783
96,1.855
97,1.082
98,1.855
99,9.069
100,0.052
101,3.504
102,1.134
103,1.958
104,3.349
105,0.721
106,2.010
107,35.246
108,2.010
109,0.464
110,1.494
111,0.103
112,3.349
113,4.019
114,4.431
115,6.750
116,1.804
117,0.206
118,2.061
119,6.750
120,1.958
121,9.378
122,4.225
123,1.907
124,7.729
125,3.968
126,3.916
127,5.668
128,4.586
129,1.391
130,1.752
131,6.080
132,2.576
133,5.204
134,2.576
135,3.040
136,3.762
137,2.576
138,2.010
139,2.989
140,3.143
141,2.680
142,1.649
143,4.380
144,2.010
145,0.103
146,2.989
147,2.576
148,8.966
149,3.865
150,3.092
151,1.031
152,2.783
153,3.195
154,0.721
155,0.206
156,15.356
157,11.285
158,2.319
159,12.006
160,0.412
161,3.246
162,0.103
163,3.916
164,0.721
165,3.092
166,3.865
167,3.504
168,1.804
169,4.019
170,3.556
171,1.134
172,3.452
173,2.886
174,0.618
175,10.254
176,9.584
177,0.773
178,2.680
179,4.328
180,3.246
181,4.998
182,3.298
183,1.031
184,4.431
185,2.576
186,6.287
187,6.441
188,1.443
189,3.298
190,1.752
191,0.773
192,0.567
193,9.636
194,4.328
195,2.834
196,5.720
197,2.576
198,2.164
199,2.783
200,1.391
201,22.518
202,0.721
203,2.525
204,3.349
205,4.277
206,0.618
207,0.155
208,2.834
209,2.628
210,3.865
211,6.493
212,1.752
213,0.309
214,2.370
215,2.267
216,3.813
217,3.195
218,3.298
219,3.092
220,3.349
221,5.565
222,2.731
223,0.155
224,1.804
225,4.844
226,9.739
227,2.525
228,1.546
229,2.061
230,1.031
231,0.773
232,24.270
233,0.618
234,4.741
235,8.502
236,1.804
237,2.216
238,1.134
239,1.391
240,3.659
241,2.010
242,0.361
243,2.370
244,1.958
245,7.832
246,2.731
247,5.977
248,2.267
249,4.431
250,5.050
251,3.246
252,0.052
253,2.886
254,39.368
255,3.195
256,1.340
257,3.916
258,10.409
259,13.655
260,2.576
261,1.855
262,13.913
263,0.258
264,0.618
265,0.206
266,0.155
267,5.823
268,3.349
269,3.504
270,0.928
271,2.422
272,3.916
273,0.412
274,4.019
275,10.203
276,3.452
277,0.052
278,0.155
279,3.865
280,0.876
281,5.050
282,2.370
283,4.122
284,2.576
285,2.113
286,0.773
287,2.267
288,2.216
289,3.452
290,3.298
291,2.267
292,2.937
293,2.164
294,3.195
295,4.844
296,0.155
297,9.018
298,0.515
299,0.052
300,5.565
301,1.031
302,0.979
303,0.206
304,0.258
305,3.349
306,9.636
307,6.235
308,22.467
309,3.607
310,7.111
311,3.195
312,1.134
