 ,Area
1,0.979
2,0.206
3,1.288
4,5.565
5,2.731
6,3.556
7,0.103
8,2.680
9,4.947
10,2.216
11,2.370
12,4.998
13,2.216
14,9.584
15,2.731
16,5.462
17,3.092
18,3.607
19,4.689
20,2.680
21,3.092
22,4.638
23,5.204
24,3.246
25,2.989
26,3.246
27,2.576
28,2.216
29,2.937
30,3.556
31,3.504
32,3.659
33,2.834
34,9.739
35,2.525
36,2.628
37,2.680
38,2.628
39,1.855
40,6.596
41,4.741
42,18.241
43,3.401
44,2.680
45,1.855
46,4.483
47,0.258
48,4.277
49,23.806
50,1.391
51,3.504
52,7.369
53,2.525
54,2.834
55,3.968
56,9.739
57,8.245
58,4.122
59,30.196
60,3.710
61,3.710
62,2.422
63,3.401
64,3.195
65,17.571
66,11.646
67,4.895
68,2.937
69,3.556
70,12.161
71,0.103
72,5.411
73,4.277
74,3.401
75,2.989
76,3.813
77,3.298
78,4.792
79,7.678
80,16.489
81,10.100
82,3.916
83,3.401
84,5.926
85,8.193
86,3.504
87,3.452
88,2.937
89,2.473
90,25.713
91,0.515
92,2.319
93,3.762
94,1.907
95,1.907
96,2.576
97,2.989
98,2.886
99,2.576
100,2.680
101,3.659
102,18.447
103,2.216
104,1.082
105,4.535
106,14.016
107,3.607
108,8.193
109,3.246
110,0.103
111,3.349
112,3.401
113,3.349
114,12.470
115,8.708
116,4.792
117,2.164
118,3.143
119,2.731
120,2.834
121,4.328
122,3.040
123,3.504
124,0.824
125,2.628
126,2.628
127,2.267
128,2.422
129,5.359
130,0.567
131,2.937
132,3.607
133,1.649
134,3.710
135,4.328
136,2.473
137,7.884
138,4.174
139,2.937
140,3.813
141,7.626
142,7.317
143,6.132
144,3.865
145,12.676
146,2.576
147,2.731
148,2.422
149,28.186
150,1.907
151,1.391
152,1.649
153,1.649
154,3.710
155,1.700
156,2.576
157,3.092
158,3.092
159,3.143
160,2.731
161,3.143
162,3.246
163,1.907
164,2.473
165,1.443
166,2.628
167,3.710
168,2.731
169,4.638
170,2.886
171,3.710
172,2.267
173,5.720
174,1.752
175,2.783
176,2.834
177,3.659
178,2.834
179,4.586
180,5.204
181,3.710
182,0.515
183,2.576
184,12.728
185,52.457
186,2.061
187,2.061
188,5.101
189,1.804
190,3.143
191,2.473
192,3.607
193,1.443
194,1.031
195,9.121
196,2.422
197,1.494
198,8.966
199,3.813
200,0.258
201,0.155
202,0.155
203,1.340
204,2.267
205,3.246
206,4.122
207,6.080
208,2.267
209,0.876
210,2.680
211,2.164
212,1.237
213,50.808
214,2.473
215,6.132
216,3.246
217,3.607
218,1.855
219,2.061
220,8.708
221,2.061
222,3.195
223,7.987
224,3.195
225,3.092
226,8.966
227,3.968
228,6.647
229,16.335
230,1.391
231,10.151
232,1.804
233,3.092
234,0.567
235,2.576
236,5.771
237,1.804
238,6.132
239,3.659
240,7.111
241,3.195
242,2.525
243,11.285
244,2.319
245,2.422
246,2.937
247,3.298
248,5.153
249,4.947
250,4.277
251,1.340
252,2.731
253,3.092
254,1.700
255,2.834
256,5.256
257,2.422
258,2.680
259,1.958
260,3.195
261,1.185
262,5.668
263,2.628
264,2.113
265,1.288
266,1.031
267,1.340
268,3.659
269,5.050
270,3.092
271,4.535
272,1.340
273,2.422
274,2.989
275,3.195
276,1.288
277,3.504
278,1.134
279,3.865
280,1.546
281,4.380
282,2.061
283,2.731
284,8.451
285,2.010
286,10.718
287,2.216
288,1.700
289,7.935
290,2.834
291,3.246
292,3.143
293,3.607
294,1.391
295,1.958
296,1.649
297,3.195
298,10.409
299,17.005
300,0.103
301,1.134
302,1.494
303,3.813
304,2.010
305,2.370
306,2.937
307,2.937
308,3.659
309,0.670
310,0.258
311,3.246
312,0.773
313,7.987
314,2.370
315,7.729
316,2.628
317,2.216
318,1.958
319,0.773
320,27.310
321,2.783
322,1.134
323,1.700
324,2.113
325,5.514
326,1.855
327,2.164
328,7.163
329,4.638
330,2.989
331,6.287
332,1.700
333,0.103
334,0.928
335,0.721
336,1.288
337,3.556
338,0.721
339,2.525
340,3.504
341,1.288
342,1.443
343,2.731
344,2.216
345,1.597
346,0.515
347,2.834
348,1.494
349,1.649
350,2.216
351,2.010
352,2.989
353,2.370
354,3.659
355,2.370
356,4.380
357,4.277
358,0.515
359,2.783
360,7.059
361,1.082
362,1.237
363,1.237
364,2.113
365,2.783
366,1.134
367,4.071
368,3.865
369,3.143
370,1.288
371,3.401
372,2.680
373,14.583
374,0.206
375,4.998
376,0.515
377,2.113
378,1.443
379,1.546
380,2.319
381,0.103
382,0.618
383,0.206
384,2.576
385,3.556
386,2.267
387,2.525
388,0.258
389,2.576
390,7.266
391,2.473
392,2.010
393,3.504
394,1.855
395,2.113
396,0.155
397,0.412
398,3.401
399,1.237
400,3.092
401,0.103
402,1.958
403,3.040
404,2.061
405,0.876
406,2.010
407,0.928
408,0.361
409,1.597
410,1.958
411,3.143
412,5.720
413,1.649
414,3.401
415,1.546
416,1.700
417,2.370
418,2.422
419,2.061
420,3.968
421,2.010
422,0.103
423,2.989
424,2.164
425,1.804
426,1.082
427,0.618
428,1.855
429,13.294
430,0.155
431,12.934
432,42.563
433,1.752
434,6.699
435,3.349
436,0.979
437,0.206
438,3.143
439,1.546
440,1.804
441,1.804
442,1.494
443,1.237
444,2.267
445,1.134
446,1.804
447,0.876
448,1.494
449,1.391
450,2.164
451,2.576
452,0.721
453,8.039
454,1.443
455,2.628
456,1.700
457,2.525
458,2.886
459,0.412
460,3.865
461,3.349
462,0.464
463,8.039
464,0.670
465,3.452
466,2.216
467,24.425
468,1.597
469,0.618
470,26.125
471,2.937
472,5.153
473,2.731
474,4.431
475,3.092
476,0.670
477,1.031
478,12.264
479,2.422
480,1.494
481,1.649
482,2.731
483,1.546
484,1.597
485,3.556
486,0.928
487,1.597
488,2.061
489,0.618
490,3.916
491,0.876
492,1.340
493,2.113
494,1.958
495,2.834
496,2.010
497,2.422
498,2.834
499,1.443
500,2.731
501,1.082
502,2.164
503,4.792
504,0.464
505,0.567
506,1.597
507,1.700
508,1.185
509,0.567
510,0.103
511,0.103
512,1.546
513,1.958
514,0.618
515,1.546
516,1.391
517,2.061
518,0.309
519,1.546
520,1.082
521,3.813
522,3.504
523,1.597
524,0.876
525,0.773
526,1.288
527,3.143
528,1.082
529,1.391
530,1.752
531,1.752
532,1.391
533,1.237
534,0.979
535,0.103
536,6.235
537,0.309
538,1.855
539,1.443
540,0.155
541,0.773
542,1.597
543,0.928
544,2.680
545,0.773
546,0.515
547,0.258
548,2.061
549,1.443
550,1.700
551,0.773
552,1.288
553,0.258
554,0.876
555,0.309
556,2.422
557,2.422
558,0.928
559,0.309
560,0.155
561,7.729
562,0.412
563,0.412
564,0.412
565,0.206
566,2.525
567,0.721
568,0.670
569,1.134
570,2.010
571,18.757
572,1.288
573,1.288
574,3.195
575,0.876
576,0.824
577,0.103
578,1.649
579,1.082
580,2.576
581,0.103
582,0.928
583,0.258
584,0.309
585,7.472
586,1.752
587,1.082
588,0.876
589,0.670
590,2.680
591,2.731
592,1.700
593,0.361
