 ,Area
1,5.977
2,3.607
3,9.224
4,7.987
5,3.968
6,11.027
7,6.183
8,0.103
9,7.626
10,6.802
11,4.071
12,5.565
13,3.659
14,46.531
15,6.493
16,4.741
17,4.122
18,21.281
19,4.998
20,11.439
21,3.710
22,2.422
23,15.407
24,1.649
25,4.998
26,58.640
27,16.592
28,4.328
29,3.349
30,3.298
31,2.010
32,3.452
33,4.071
34,20.405
35,50.550
36,7.111
37,0.309
38,4.174
39,2.886
40,3.504
41,2.113
42,2.061
43,1.288
44,2.061
45,1.134
46,1.752
47,3.452
48,1.340
49,1.134
50,1.700
51,4.225
52,1.185
53,1.288
54,0.721
55,2.422
