 ,Area
1,0.515
2,4.071
3,2.989
4,3.298
5,4.122
6,3.452
7,4.174
8,3.092
9,3.195
10,3.040
11,2.886
12,2.937
13,5.874
14,2.886
15,1.546
16,2.834
17,2.989
18,1.700
19,2.010
20,4.328
21,3.659
22,2.216
23,1.958
24,3.092
25,1.443
26,2.886
27,3.195
28,3.556
29,4.225
30,2.937
31,2.989
32,2.886
33,3.452
34,2.628
35,2.525
36,3.659
37,2.886
38,2.989
39,8.142
40,0.928
41,1.185
42,3.710
43,2.370
44,5.359
45,11.542
46,2.886
47,4.431
48,5.256
49,4.380
50,2.783
51,2.267
52,2.010
53,3.452
54,1.907
55,3.504
56,7.832
57,3.298
58,3.452
59,1.907
60,3.349
61,1.958
62,2.886
63,2.937
64,2.731
65,3.659
66,3.556
67,6.853
68,3.246
69,3.298
70,3.401
71,4.277
72,4.071
73,4.535
74,2.216
75,2.061
76,2.422
77,4.019
78,7.059
79,4.122
80,2.473
81,2.989
82,1.494
83,2.576
84,3.195
85,3.195
86,2.989
87,2.834
88,2.061
89,2.886
90,1.649
91,11.182
92,12.728
93,1.958
94,3.092
95,3.349
96,2.576
97,3.349
98,2.319
99,3.298
100,2.680
101,5.720
102,5.050
103,2.422
104,0.412
105,3.246
106,2.834
107,2.473
108,3.246
109,14.995
110,5.101
111,2.628
112,9.224
113,2.989
114,6.956
115,2.680
116,2.525
117,2.525
118,1.752
119,6.080
120,3.040
121,2.525
122,7.729
123,2.731
124,2.576
125,2.164
126,2.113
127,2.628
128,0.670
129,2.473
130,2.113
131,2.370
132,3.092
133,2.937
134,1.907
135,9.018
136,3.659
137,2.370
138,3.195
139,10.460
140,1.907
141,2.628
142,2.680
143,3.401
144,2.680
145,3.659
146,2.937
147,2.628
148,3.040
149,2.010
150,4.277
151,2.834
152,2.319
153,10.100
154,2.164
155,2.216
156,2.525
157,2.731
158,4.174
159,5.307
160,2.267
161,2.525
162,2.422
163,3.298
164,2.113
165,1.907
166,0.155
167,2.937
168,1.907
169,2.216
170,2.422
171,2.731
172,2.783
173,2.628
174,2.525
175,2.370
176,2.834
177,2.731
178,2.422
179,8.451
180,2.422
181,2.731
182,1.855
183,1.907
184,2.010
185,2.628
186,3.349
187,3.607
188,2.319
189,2.886
190,2.422
191,25.146
192,3.916
193,3.762
194,1.958
195,2.216
196,5.668
197,2.370
198,2.834
199,2.164
200,5.050
201,2.886
202,6.029
203,5.874
204,4.277
205,2.113
206,2.113
207,2.422
208,2.525
209,3.092
210,2.525
211,1.804
212,8.863
213,1.958
214,3.143
215,7.935
216,2.319
217,6.853
218,2.216
219,2.164
220,2.473
221,3.659
222,2.370
223,2.267
224,2.113
225,5.874
226,6.029
227,2.628
228,2.628
229,2.576
230,2.164
231,1.752
232,1.082
233,2.576
234,7.111
235,1.700
236,2.010
237,2.834
238,2.576
239,1.546
240,2.473
241,2.216
242,2.061
243,2.576
244,2.576
245,2.010
246,5.771
247,2.164
248,1.958
249,3.607
250,1.700
251,1.958
252,2.731
253,2.680
254,1.288
255,3.195
256,1.288
257,2.937
258,1.958
259,1.804
260,2.525
261,1.391
262,1.804
263,1.443
264,1.855
265,1.340
266,1.907
267,0.928
268,1.804
269,1.804
270,2.010
271,1.752
272,1.597
273,1.804
274,0.515
275,2.216
276,9.069
277,1.546
278,2.731
279,4.380
280,1.391
281,1.958
282,1.907
283,1.907
284,1.700
285,1.597
286,1.958
287,3.349
288,2.370
289,2.061
290,1.804
291,1.855
292,3.349
293,2.216
294,0.309
295,17.881
296,1.700
297,2.525
298,2.113
299,0.773
