 ,Area
1,2.164
2,0.309
3,2.989
4,2.113
5,2.010
6,2.061
7,2.731
8,2.061
9,0.412
10,0.464
11,2.473
12,2.010
13,5.359
14,4.071
15,1.958
16,0.412
17,1.907
18,1.907
19,2.576
20,1.340
21,15.974
22,1.031
23,2.473
24,2.319
25,1.855
26,1.494
27,2.216
28,1.958
29,1.649
30,2.164
31,4.998
32,3.349
33,3.401
34,3.092
35,1.700
36,2.576
37,4.122
38,2.370
39,1.185
40,2.989
41,2.473
42,3.401
43,4.689
44,1.597
45,0.824
46,2.731
47,1.752
48,1.752
49,1.958
50,4.483
51,2.164
52,2.319
53,1.907
54,2.370
55,7.059
56,1.494
57,2.267
58,2.783
59,3.452
60,2.164
61,1.494
62,2.164
63,2.473
64,1.855
65,2.113
66,2.525
67,2.267
68,2.370
69,1.546
70,2.731
71,1.700
72,1.855
73,3.865
74,1.185
75,2.113
76,3.246
77,3.762
78,1.907
79,2.422
80,0.773
81,3.452
82,1.804
83,1.907
84,2.525
85,3.710
86,1.752
87,1.597
88,1.494
89,2.525
90,1.907
91,2.370
92,8.451
93,2.267
94,1.958
95,1.649
96,2.113
97,2.010
98,1.443
99,2.680
100,3.143
101,0.103
102,2.267
103,1.700
104,1.752
105,0.721
106,1.597
107,1.237
108,2.061
109,2.680
110,3.556
111,2.886
112,5.307
113,0.567
114,2.370
115,1.752
116,1.288
117,1.340
118,2.216
119,2.525
120,5.256
121,1.494
122,1.597
123,2.576
124,2.731
125,4.174
126,1.855
127,3.607
128,5.204
129,2.422
130,2.731
131,1.237
132,1.649
133,1.443
134,4.792
135,2.886
136,2.319
137,10.306
138,0.824
139,2.422
140,8.296
141,1.494
142,2.576
143,2.473
144,0.567
145,3.401
146,2.010
147,0.721
148,1.752
149,8.966
150,3.556
151,2.216
152,2.370
153,5.977
154,0.928
155,2.525
156,1.340
157,3.504
158,1.804
159,2.422
160,2.834
161,1.391
162,1.597
163,2.319
164,1.649
165,1.752
166,5.874
167,1.752
168,1.340
169,1.185
170,1.855
171,2.010
172,2.164
173,1.031
174,2.164
175,2.628
176,4.792
177,2.113
178,2.834
179,5.153
180,2.576
181,1.804
182,2.422
183,2.164
184,1.752
185,1.958
186,5.617
187,0.670
188,3.710
189,2.061
190,3.916
191,2.680
192,3.040
193,2.010
194,2.731
195,3.659
196,1.907
197,2.731
198,1.804
199,1.288
200,0.567
201,1.700
202,1.907
203,6.338
204,1.082
205,2.731
206,2.061
207,2.422
208,2.370
209,20.302
210,1.134
211,5.720
212,1.649
213,1.288
214,14.170
215,6.132
216,0.928
217,0.206
218,2.731
219,1.855
220,2.010
221,1.597
222,2.267
223,4.586
224,2.937
