 ,Area
1,1.443
2,2.680
3,1.752
4,2.989
5,0.258
6,0.773
7,2.267
8,16.283
9,5.411
10,3.143
11,0.155
12,3.607
13,2.525
14,1.185
15,2.783
16,2.370
17,1.700
18,1.700
19,1.804
20,2.319
21,1.907
22,1.752
23,2.267
24,1.340
25,2.010
26,1.649
27,3.968
28,2.216
29,2.576
30,8.348
31,1.237
32,2.783
33,14.583
34,1.907
35,1.958
36,2.319
37,0.670
38,1.958
39,3.349
40,1.546
41,5.101
42,0.103
43,26.331
44,2.370
45,3.659
46,1.288
47,2.937
48,3.298
49,1.804
50,3.813
51,2.834
52,2.319
53,7.369
54,2.319
55,1.443
56,1.752
57,1.958
58,3.607
59,2.731
60,1.082
61,2.216
62,1.597
63,2.370
64,3.401
65,4.586
66,2.680
67,2.267
68,1.391
69,2.680
70,1.752
71,0.824
72,2.267
73,1.443
74,1.494
75,1.700
76,3.504
77,1.237
78,1.855
79,1.855
80,1.546
81,2.937
82,0.928
83,23.549
84,4.947
85,2.989
86,7.575
87,2.319
88,1.391
89,2.422
90,2.010
91,6.493
92,37.668
93,0.979
94,0.361
95,2.370
96,1.752
97,9.945
98,3.607
99,2.731
100,2.576
101,1.134
102,8.708
103,2.628
104,1.907
105,1.804
106,2.422
107,1.907
108,5.617
109,1.855
110,2.216
111,2.473
112,1.546
113,1.185
114,1.031
115,4.122
116,1.752
117,0.206
118,5.926
119,2.010
120,2.473
121,3.401
122,2.370
123,1.907
124,2.886
125,1.237
126,2.473
127,2.834
128,2.061
129,2.113
130,1.752
131,1.443
132,0.721
133,1.649
134,7.059
135,20.766
136,0.928
137,0.876
138,1.031
139,2.267
140,5.771
141,4.895
142,1.907
143,1.958
144,2.061
145,2.422
146,1.700
147,2.267
148,2.473
149,2.216
150,1.649
151,9.275
152,2.525
153,2.010
154,0.361
155,2.731
156,2.525
157,1.031
158,2.576
159,7.369
160,1.340
161,2.525
162,2.731
163,0.979
164,1.752
165,2.061
166,1.752
167,1.340
168,8.296
169,3.143
170,2.113
171,5.256
172,1.907
173,1.958
174,2.422
175,0.928
176,4.174
177,2.267
178,1.752
179,3.092
180,1.134
181,2.061
182,1.597
183,2.370
184,4.277
185,5.411
186,1.597
187,1.494
188,1.649
189,2.164
190,2.061
191,2.216
192,0.670
193,5.050
194,5.771
195,2.216
196,2.834
197,2.010
198,1.134
199,2.989
200,2.010
201,2.164
202,2.525
203,2.422
204,0.773
205,9.481
206,2.164
207,4.998
208,1.546
209,1.907
210,7.420
211,2.061
212,2.164
213,1.237
214,1.340
215,2.422
216,1.391
217,2.061
218,0.567
219,2.010
220,2.010
221,1.391
222,2.216
223,2.319
224,2.216
225,2.525
226,2.010
227,6.544
228,1.494
229,1.804
230,1.855
231,1.597
232,6.544
233,2.731
234,4.019
235,12.779
236,1.443
237,26.022
238,2.267
239,2.164
240,1.907
241,2.370
242,9.224
243,0.979
244,4.122
245,2.834
246,10.718
247,0.155
248,1.082
249,1.597
250,1.700
251,2.164
252,1.031
253,1.700
254,1.752
255,1.391
256,2.061
257,2.113
258,2.989
259,1.804
260,3.092
261,2.680
262,1.443
263,4.019
264,1.649
265,1.443
266,1.546
267,1.855
268,0.258
269,1.340
270,2.061
271,1.958
272,0.979
273,2.731
274,1.340
275,1.597
276,1.082
277,6.853
278,1.340
279,1.804
280,44.470
281,4.689
282,1.340
283,7.575
284,1.185
285,0.721
286,0.670
287,1.546
288,2.216
289,1.082
290,1.237
291,0.721
292,3.401
293,1.494
294,1.597
295,0.618
296,7.575
297,1.752
298,1.546
299,2.113
300,0.361
301,1.134
302,2.628
303,1.597
304,0.979
305,2.113
306,0.928
307,4.638
308,7.369
309,1.907
310,4.225
311,1.958
312,1.391
313,1.804
314,2.628
315,0.876
316,2.319
317,1.443
318,1.958
319,0.618
320,0.155
321,0.876
322,1.700
323,1.546
324,0.773
325,0.979
326,1.494
327,0.824
328,0.876
329,1.546
330,2.010
331,3.762
332,0.979
333,1.494
334,0.206
335,4.019
336,3.659
337,0.567
338,0.876
339,1.134
340,2.164
341,1.443
342,1.649
343,0.773
344,1.752
345,5.874
346,0.876
