 ,Area
1,2.680
2,2.628
3,2.576
4,3.092
5,3.195
6,3.195
7,2.783
8,2.061
9,1.031
10,2.422
11,2.370
12,0.515
13,3.401
14,1.546
15,3.092
16,2.216
17,1.958
18,4.225
19,2.010
20,2.164
21,2.783
22,1.855
23,1.907
24,16.902
25,2.680
26,2.525
27,2.164
28,3.504
29,8.142
30,1.958
31,2.319
32,2.628
33,1.391
34,3.246
35,4.380
36,2.164
37,2.834
38,2.576
39,2.473
40,2.319
41,2.525
42,2.267
43,5.565
44,1.546
45,8.863
46,1.340
47,3.813
48,2.525
49,2.061
50,2.319
51,3.607
52,2.680
53,3.607
54,3.092
55,6.132
56,4.895
57,1.907
58,3.349
59,1.804
60,0.155
61,1.958
62,2.886
63,1.288
64,3.246
65,1.597
66,3.452
67,2.113
68,0.206
69,2.061
70,2.164
71,1.855
72,2.319
73,1.443
74,2.422
75,1.752
76,2.164
77,2.834
78,3.813
79,2.834
80,1.546
81,3.813
82,1.546
83,3.195
84,2.525
85,7.317
86,1.958
87,2.525
88,1.752
89,6.390
90,1.391
91,1.804
92,2.989
93,1.649
94,7.935
95,2.370
96,0.618
97,0.206
98,1.700
99,3.607
100,1.546
101,1.907
102,1.443
103,2.319
104,4.535
105,2.731
106,6.596
107,1.855
108,1.855
109,2.010
110,0.876
111,5.977
112,2.010
113,4.689
114,1.288
115,0.824
116,4.380
117,2.731
118,0.928
